"Scope","ID","Block","Formula / Variable","Formula","Описание логики на русском","Level / Stage","Source / Input","Output / Goes To","Status / Approval","Used In / CEO Question"
"AS-IS","DEL-003","Delivery Stage","Delivery Labor Cost","MAX(Delivery Unload Minutes, 30) x Wage Per Minute x Delivery Team + Pickup Wage Per Mile x Delivery Distance x Delivery Team","Delivery labor берет unload minutes, minimum delivery minutes = minLoadingMinutes - 10, wagePerMinute, deliveryDistance и deliveryTeam. Результат идет в deliveryCost и stageBreakdown.delivery.labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery subtotal, route cost"
"AS-IS","PICK-004","Pickup Stage","Pickup Mileage Cost","Pickup Distance x Vehicle Maintenance Per Mile + Pickup Distance x Fuel Cost Per Mile","Pickup mileage cost берет pickupDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup subtotal, route cost"
"AS-IS","DEL-004","Delivery Stage","Delivery Mileage Cost","Delivery Distance x Vehicle Maintenance Per Mile + Delivery Distance x Fuel Cost Per Mile","Delivery mileage cost берет deliveryDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery subtotal, route cost"
"AS-IS","PICK-005","Pickup Stage","Pickup Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate + Packaging Per Shipment","Pickup handling зависит от selected model amount: effective volume или total weight. Rates берутся из settings. Результат идет в pickupCost. PackagingPerShipment включается здесь.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup subtotal, route cost"
"AS-IS","DEL-005","Delivery Stage","Delivery Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate / 2","Delivery handling зависит от selected model amount. Truck loading rate делится на 2. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery subtotal, route cost"
"AS-IS","PICK-006","Pickup Stage","Pickup Management / Dispatch","Management Fee + Dispatch Fee","К pickup stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Pickup subtotal, route cost"
"AS-IS","DEL-006","Delivery Stage","Delivery Management / Dispatch","Management Fee + Dispatch Fee","К delivery stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Delivery subtotal, route cost"
"AS-IS","PICK-007","Pickup Stage","Pickup Cost","Pickup Mileage + Pickup Labor + Pickup Handling + Management Fee + Dispatch Fee","Pickup subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.pickup.total.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Implemented / Baseline","Route cost, service cost"
"AS-IS","DEL-007","Delivery Stage","Delivery Cost","Delivery Mileage + Delivery Labor + Delivery Handling + Management Fee + Dispatch Fee","Delivery subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.delivery.total.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Implemented / Baseline","Route cost, service cost"
"AS-IS","INT-001","Interstate Stage","Interstate Maintenance","Amount x Interstate Distance x Vehicle Maintenance Per Unit Mile","Interstate vehicle cost берет selected model amount, interstate distance и maintenance per unit mile у interstate vehicle. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Implemented / Baseline","Interstate subtotal, route cost"
"AS-IS","INT-002","Interstate Stage","Interstate Fuel","Amount x Interstate Distance x Fuel Cost Per Unit Mile","Interstate fuel берет selected model amount, interstate distance и fuel cost per unit mile. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Implemented / Baseline","Interstate subtotal, route cost"
"AS-IS","INT-003","Interstate Stage","Interstate Driver","Interstate Driver Cost Per Mile / Vehicle Denominator x Interstate Distance x Amount x Interstate Team","Driver cost распределяется по vehicle denominator, distance и selected amount. Interstate team сейчас = 1. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Implemented / Baseline","Interstate subtotal, route cost"
"AS-IS","INT-004","Interstate Stage","Interstate Cost","Interstate Maintenance + Interstate Fuel + Interstate Driver","Interstate subtotal складывает vehicle cost, fuel и driver. Результат идет в routeCost и stageBreakdown.interstate.total.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Implemented / Baseline","Route cost, service cost"
"AS-IS","FINAL-001","Final Total","Damage Surcharge","Amount x Repair Cost Per Unit","Damage surcharge зависит от selected model: repairCostPerCuFt для volume или repairCostPerLb для weight. Результат идет в serviceCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Service cost, final total"
"AS-IS","FINAL-002","Final Total","Service Cost","Pickup Cost + Delivery Cost + Interstate Cost + Damage Surcharge + Insurance Cost","Service cost складывает три stage costs, damage surcharge и protection/insurance cost. Результат идет в priceExcludingBrokerFee и operationalCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Operational cost, margin, final total"
"AS-IS","FINAL-003","Final Total","Stage Margin","(Pickup Cost + Delivery Cost + Interstate Cost) x Margin Rate","Margin считается от route stage costs, без storage/access/adjustments. MarginRate берется из settings. Результат идет в priceExcludingBrokerFee.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Price excluding broker fee"
"AS-IS","FINAL-004","Final Total","Price Excluding Broker Fee","Service Cost + Stage Margin","Цена до broker fee складывает service cost и stage margin. Результат идет в brokeredPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Brokered price"
"AS-IS","FINAL-005","Final Total","Brokered Price","Price Excluding Broker Fee / (1 - Broker Fee Rate)","Broker fee gross-up делит price excluding broker fee на 1 - brokerFeeRate. Сейчас brokerFeeRate = 4%. Результат идет в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Raw price, final total"
"AS-IS","FINAL-006","Final Total","Volume Model Price","calculateExcelStageCosts(measure = volume, amount = Total Effective Volume)","Калькулятор считает pickup/interstate/delivery модель по effective volume. Результат сравнивается с weight model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Model selection"
"AS-IS","FINAL-007","Final Total","Weight Model Price","calculateExcelStageCosts(measure = weight, amount = Total Weight)","Калькулятор считает pickup/interstate/delivery модель по total weight. Результат сравнивается с volume model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Model selection"
"AS-IS","FINAL-008","Final Total","Selected Pricing Model","MAX(Volume Model Price, Weight Model Price)","AS-IS калькулятор выбирает более дорогую модель по priceExcludingBrokerFee. Результат selectedCosts используется для routeCost, serviceCost, rawPrice и finalPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Final pricing model"
"AS-IS","FINAL-009","Final Total","Route Cost","Selected Pickup Cost + Selected Delivery Cost + Selected Interstate Cost","Route cost складывает pickup, delivery и interstate costs из выбранной volume/weight модели. Результат идет в totals.routeCost и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Operational cost, breakdown"
"AS-IS","ACC-001","Access Conditions","Access COI Fee","COI Fee x Count(COI pickup/delivery points)","Если COI включен на pickup или delivery, добавляется coiFee за каждую точку. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Implemented / Baseline","Additional charges"
"AS-IS","ACC-002","Access Conditions","Access Stairs Fee","Stairs Fee Per Floor x MAX(Floor, 1) when Stairs = TRUE","Если legacy stairs flag включен, калькулятор умножает ставку за этаж на floor. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Implemented / Baseline","Additional charges"
"AS-IS","ACC-003","Access Conditions","Access Narrow / Elevator Unavailable Fee","Narrow Access Fee when NarrowAccess = TRUE OR ElevatorUnavailable = TRUE","Если narrowAccess или elevatorUnavailable true, добавляется narrowAccessFee. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Implemented / Baseline","Additional charges"
"AS-IS","ACC-004","Access Conditions","Access Long Carry Fee","CEILING(Long Carry Ft / 50) x Long Carry Fee Per 50 Ft","Long carry считается блоками по 50 ft с округлением вверх. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Implemented / Baseline","Additional charges"
"AS-IS","ACC-005","Access Conditions","Access Fees Total","Pickup Access Fees + Delivery Access Fees","Access fees суммируют COI, stairs, narrow/elevatorUnavailable и long carry по pickup и delivery. Результат идет в additionalCharges.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Implemented / Baseline","Additional charges, final total"
"AS-IS","OPT-001","Order Options","Priority Date Fee","IF Priority Date = TRUE, Priority Date Fee, 0","В коде есть optionFees для priorityDate, но текущий UI принудительно сохраняет priorityDate = false. Если true, результат идет в additionalCharges.","Order Option","Quote options and runtime option variables","Option fee or operational-cost display impact","Implemented / Baseline","Additional charges"
"AS-IS","OPT-002","Order Options","Exclusive Delivery Operational Cost","IF Exclusive Delivery = TRUE, Service Cost x Exclusive Delivery Multiplier, else Service Cost","В коде operationalCost может умножаться на exclusiveDeliveryMultiplier. Текущий UI принудительно сохраняет exclusiveDelivery = false. Результат используется как internal operationalCost display.","Order Option","Quote options and runtime option variables","Option fee or operational-cost display impact","Implemented / Baseline","Operational cost display"
"AS-IS","ADJ-001","Adjustments","Special Labor Cost","IF Extra Labor People > 0 AND Extra Labor Hours > 0, People x Hours x Rate, else 0","Special labor берет people, hours и hidden/internal rate из quote.options. Default rate = $50/hour. Результат идет в quoteAdjustment и final price, только если есть billable items.","Order Option","Special labor fields and legacy manual adjustment","Quote adjustment added to raw price","Implemented / Baseline","Quote adjustment, final total"
"AS-IS","ADJ-002","Adjustments","Legacy Manual Adjustment","MAX(Manual Adjustment, 0)","Legacy manualAdjustment сохраняется для старых drafts/snapshots. Новые broker adjustments должны использовать Special Labor. Результат идет в quoteAdjustment.","Order Option","Special labor fields and legacy manual adjustment","Quote adjustment added to raw price","Implemented / Baseline","Quote adjustment, final total"
"AS-IS","FINAL-010","Final Total","Additional Charges","Storage + Access Fees + Option Fees","Additional charges складывают storage, accessFees и optionFees. Результат добавляется к brokeredPrice в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Raw price, final total"
"AS-IS","FINAL-011","Final Total","Quote Adjustment","Special Labor Cost + Legacy Manual Adjustment","Quote adjustment складывает special labor и legacy manual adjustment. Результат добавляется к rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Raw price, final total"
"AS-IS","FINAL-012","Final Total","Raw Price","Brokered Price + Additional Charges + Quote Adjustment","Raw price — цена до финального округления. Берется brokeredPrice, additionalCharges и quoteAdjustment. Результат идет в final price rounding.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Implemented / Baseline","Final price"
