"Variable ID","Variable / Coefficient","Описание логики на русском","Current Value","Unit","Source","Used In","Changeability / Approval"
"VAR-015","wagePerMinute","Стоимость одной минуты работы одного человека. Умножается на billable minutes и crew size.","0.4777088333","USD/min/person","js/variables.js settings","Pickup/Delivery Labor","Labor economics variable."
"VAR-016","pickupWagePerMile","Labor mileage component: стоимость времени/перемещения crew на локальные pickup/delivery miles.","0.6369451111","USD/mile/person","js/variables.js settings","Pickup/Delivery Labor mileage","Labor economics variable."
"VAR-017","interstateDriverCostPerMile","Driver cost per mile для interstate stage. Участвует в long-haul себестоимости.","0.56825","USD/mile","js/variables.js settings","Interstate Driver","Linehaul economics variable."
"VAR-018","managementFee","Management fee добавляется в pickup/delivery stage как фиксированная operational/admin component.","15","USD/stage","js/variables.js settings","Pickup/Delivery Management Dispatch","Governance needed: per stage vs per order."
"VAR-019","dispatchFee","Dispatch fee добавляется в pickup/delivery stage как фиксированная dispatch component.","3.5","USD/stage","js/variables.js settings","Pickup/Delivery Management Dispatch","Governance needed."
"VAR-020","coiFee","COI fee добавляет access charge, если certificate of insurance требуется на pickup/delivery point.","25","USD/point","js/variables.js settings","Access COI Fee","Access fee variable."
"VAR-021","stairsFeePerFloor","Legacy stairs fee per floor. Используется для access surcharge по этажам/лестнице.","18","USD/floor","js/variables.js settings","Access Stairs Fee","Legacy access fee variable."
"VAR-022","narrowAccessFee","Legacy narrow/elevator unavailable fee. Используется как access surcharge для сложного доступа.","20","USD/point","js/variables.js settings","Access Narrow / Elevator Unavailable Fee","Legacy access fee variable."
"VAR-023","longCarryFeePer50Ft","Long carry fee за каждые 50 ft переноски. Увеличивает access cost при длинном переносе.","12","USD/50 ft","js/variables.js settings","Access Long Carry Fee","Legacy access fee variable."
"VAR-024","priorityDateFee","Priority date fee существует в формуле, но в текущем UI AS-IS не активируется автоматически.","75","USD/order","js/variables.js settings","Priority Date Fee","Formula exists; current UI forces false."
"VAR-025","exclusiveDeliveryMultiplier","Exclusive delivery multiplier существует в формуле, но в текущем UI AS-IS не активируется автоматически.","1.35","multiplier","js/variables.js settings","Exclusive Delivery Operational Cost","Formula exists; current UI forces false."
"VAR-026","extraLaborRate","Special labor hourly rate: ручная доплата people x hours x rate для approved extra labor.","50","USD/hour/person","quote.options default","Special Labor Cost","Hidden broker rate; CFO-approved MVP variable."
"VAR-027","interstateVehicleName","Default interstate vehicle name. Определяет vehicle reference для interstate calculation baseline.","Penske 26 ft","vehicle name","js/variables.js settings","Interstate Vehicle","Operational reference variable."
"VAR-028","fuel currentAvg / fuelSurchargePct","Fuel variables: текущая средняя цена топлива и surcharge используются для fuel cost per mile.","Regular 4.555 / Diesel 5.652; surcharge 10%","USD/gal, %","Fuel Prices reference/runtime storage","Fuel Cost Per Mile","Needs governed update flow."
"VAR-029","protectionPlans.Full Coverage","Full Coverage/FVP AS-IS rate and fixed fee. Влияет на protection cost при выбранном full coverage.","rate 0.025; fixedFee 15","rate, USD","js/variables.js protectionPlans","FVP Protection Cost","Legal/business approval needed before TO-BE change."
"VAR-030","packagingRates","Packaging rates по типам упаковки на item. AS-IS отображается/tracked, но не всегда напрямую добавляется в additional charges.","None 0; Blanket Wrap 8; Bubble 18; TV Box 35; Custom Crate 95","USD/item","js/variables.js packagingRates","Packaging Cost Per Item","AS-IS tracked/displayed; not direct additional charge."
