"Scope","ID","Reference Source","Описание логики на русском","What It Contains / Key Fields","Source / Owner","Used In","Status / Risk / Audit Note"
"TO-BE","REF-TBE-010","Benchmark Cases","Benchmark cases reference нужен для preview impact перед сохранением pricing variables.","caseId, inputs, expectedSubtotal, expectedTotal","Preview changes before saving variables.","Governance/UAT","Required before variable admin."
"TO-BE","REF-TBE-011","Payroll Roles / Wage Rates","Справочник ставок по ролям нужен для crew pay, helper pay и fully loaded labor cost.","role, branch, hourlyWage, overtimePolicy, effectiveDate","Содержит ставки оплаты crew/helper/driver по role, branch, effective date.","Payroll, labor cost, margin","Нужен CFO/Ops owner."
"TO-BE","REF-TBE-012","Broker Compensation Plans","Определяет broker commission rules, eligibility, caps/floors and payout event.","brokerId, channel, commissionRate, cap, floor, eligibilityEvent","Хранит правила выплат broker по broker/channel/source.","Broker payout, net margin","Нужен CFO/Sales approval."
"TO-BE","REF-TBE-013","Dispatcher Compensation Plans","Определяет модель выплат dispatcher и allocation по stages/orders.","dispatcherId, payoutType, rate, bonusRule, penaltyRule","Хранит per-order/per-revenue/KPI payout rules.","Dispatcher payout, fully loaded cost","Нужно решить MVP model."
"TO-BE","REF-TBE-014","Overhead Allocation Rules","Нужен для fully loaded cost и contribution margin.","overheadType, allocationMethod, rate, effectiveDate","Определяет, как распределять admin/ops overhead на заказ.","Fully loaded cost, contribution margin","Может быть audit-only на MVP."
"TO-BE","REF-TBE-015","Capacity Economics","Нужен для route capacity opportunity cost и bulky premium.","routeType, capacityUnitRate, utilizationThreshold, premiumMultiplier","Хранит route capacity rate, utilization thresholds and premium rules.","Capacity premium, margin guardrail","Нужна data validation."
"TO-BE","REF-TBE-016","Location / Address Types","Справочник типов точки pickup/delivery. UI уже собирает House, Apartments, Business, Warehouse, Auction; справочник должен задавать, как тип точки влияет на время, усилие, доступ, crew и риск ожидания.","addressType, stage, baseTimeMultiplier, fixedLocationMinutes, accessComplexityMultiplier, crewImpact, loadingDockDefault, parkingComplexity, coiDefault, activeFlag","Отделить address type от access conditions и использовать его как источник коэффициентов time/effort.","Pickup time, delivery time, access effort, crew split, labor cost, margin guardrail","Нужен источник данных и бизнес-утверждение коэффициентов."
"TO-BE","REF-TIME-001","Historical Time Metrics","Фактическое время прошлых заказов для калибровки pickup/delivery коэффициентов.","orderId, stage, addressType, volume, weight, itemCount, crew, actualMinutes, dataQuality","Хранить фактические stop/stage times and context.","Pickup/delivery time model, productivity, confidence","Нужен сбор данных и правила качества."
"TO-BE","REF-TIME-002","Access Time Reference","Минуты влияния floor/stairs/elevator/long carry/COI/narrow access.","accessType, stage, fixedMinutes, multiplier, confidence","Хранит stage-specific access time impacts.","Access time impact","Нужно избежать double-counting с access fees."
"TO-BE","REF-TIME-003","Packaging Time Reference","Время упаковки по packaging type и item count.","packagingType, minutesPerItem, minimumMinutes, complexityClass","Хранит minutes per item and minimums.","Packing minutes, payroll","Нужна калибровка operations."
"TO-BE","REF-TIME-004","Crate Labor Reference","Время изготовления crate по size/complexity.","crateType, surfaceAreaBand, minutesPerSqFt, minimumMinutes","Хранит minutes per sq ft and minimum labor.","Crate labor minutes","Нужно утвердить вместе с crate formula."
"TO-BE","REF-TIME-005","Time Data Quality Rules","Правила доверия к time data.","dataQualityStatus, minimumSampleSize, confidenceScore, exclusionReason","Определяет trusted/estimated/incomplete/excluded.","Confidence score, coefficient calibration","Без quality rules coefficients могут быть искажены."
"TO-BE","REF-TBE-017","Item Handling / Crew Feasibility Rules","Справочник правил item-level handling. Главный driver для one-person feasibility - вес самой тяжелой физической единицы, а не общий объем и не weight x quantity. Volume остается важным для capacity/time, но не должен автоматически означать 2+ crew.","itemType, unitItemWeightBand, totalPieceBand, heavyPieceThreshold, itemLengthBand, awkwardnessClass, onePersonEligibleFlag, minCrew, minutesPerPiece, helperActiveMinutes, exceptionRule, activeFlag","Определять, можно ли pickup/delivery выполнить одним человеком, когда нужен helper, сколько мест обрабатывать, и какие lightweight bulky exceptions разрешены.","Item handling score, crew split, piece handling time, helper active time, pickup/delivery labor cost, margin guardrail","Нужно утвердить thresholds по unit weight, piece count, helper policy и собрать field feedback."
"TO-BE","REF-TBE-018","Physical Access Feasibility Rules","Справочник физической проходимости: сопоставляет item/crate dimensions с doorway, elevator, stairs, turns, narrow access and long carry.","accessType, itemDimensionLimit, doorwayWidth, elevatorDepth, stairTurnLimit, crateFlag, reviewRule, extraMinutes, activeFlag","Выявлять hard access blockers, manual review и extra labor до утверждения quote.","Hard access crew rule, manual review, access risk, helper active minutes","Нужен data capture по access dimensions; на MVP может быть manual review rule."
"TO-BE","REF-TBE-019","Vehicle Dimensions / Cargo Body Specs","Справочник реальных габаритов кузова и дверных проемов всего парка: Sprinter, Box Truck, Penske, van и другие vehicle types. Высота вроде 72 in является параметром конкретного кузова, а не общей формульной константой.","cargoBodySpecId, vehicleType, cargoInteriorLengthIn, cargoInteriorWidthIn, cargoInteriorHeightIn, doorOpeningWidthIn, doorOpeningHeightIn, payloadLb, capacityCuFt, rampFlag, liftGateFlag, tieDownFlag, activeFlag","Проверять dimensional fit, selected vehicle height exceeded, side transport и необходимость машины с более высоким кузовом.","Vehicle dimensional fit, selected vehicle height check, door opening fit, higher body vehicle recommendation, equipment requirement","Нужно собрать размеры всего парка; любые 72/96/155 in хранить как данные конкретного body spec."
"TO-BE","REF-TBE-020","Warning / Approval Rules","Справочник red flags и approval правил: что срабатывает, какой severity, блокирует ли quote, кто approve.","ruleId, triggerFormula, severity, messageRu, blocksQuote, approvalRole, activeFlag","Дать broker/admin понятные предупреждения и не выпускать рискованные estimates без подтверждения.","Warnings, quote save, approval workflow","Обязательный справочник перед Formula Sprint."
"TO-BE","REF-TBE-021","Formula Constants Audit","Карта всех числовых коэффициентов в формулах: что означает число, какая переменная его заменяет, кто утверждает.","constantValue, variableId, formulaId, meaning, owner, status","Убрать скрытые hardcoded numbers из pricing formulas.","Formula governance, CEO review","Нужно заполнить до изменения js/calculator.js."
"TO-BE","REF-TBE-022","Route Capacity Cost Reference","Справочник полной стоимости route/truck capacity для распределения interstate cost между заказами.","routeId, vehicleType, fullRouteCapacityCost, costPerCuFt, costPerLb, effectiveDate","Считать interstate cost по лимитирующему фактору объема/веса.","Interstate capacity cost, density pricing","Нужен источник данных Finance/Ops."
"TO-BE","REF-TBE-023","Formula Version Registry","Реестр версий формул и правил, используемых в snapshot.","formulaVersion, activeFrom, activeTo, approvedBy, changeReason","Сделать старые estimates воспроизводимыми после изменения variables/references.","Snapshot, audit, release governance","Обязателен для масштабирования."
"TO-BE","REF-TBE-024","Manual ZIP Override Register","Справочник утвержденных ручных изменений ZIP/zone/corridor/remote классификации.","zip, overrideZone, reason, approvedBy, activeFrom, activeTo","Позволить быстро править зоны без переписывания кода.","Route governance, zone fees, warnings","Нужен approval process."
