"Formula ID","Block","Formula / Variable","Formula","Описание логики расчета","Level","Source / Input","Output / Goes To","Used In"
"ITM-004","Item Calculations","Effective Volume Multiplier","1 + Fragile*0.10 + NonStackable*0.25 + Crated*0.15","Калькулятор увеличивает operational volume, если item fragile, non-stackable или crated. Флаги берутся из item row. Результат multiplier идет в effective volume.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Effective volume"
"ITM-005","Item Calculations","Effective Volume","CEILING(Physical Volume x Effective Volume Multiplier)","Effective volume показывает, сколько operational space занимает item с учетом handling complexity. Берется physical volume и flags multiplier. Результат идет в total effective volume, vehicle fit и volume-based stage model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, volume model, operational cost"
"ITM-006","Item Calculations","Total Effective Volume","SUM(All Item Effective Volumes)","Общий effective volume заказа равен сумме effective volume всех billable items. Результат идет в vehicle fit, pickup/interstate/delivery volume model и bulky/direct review recommendation.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, stage calculations"
"ITM-007","Item Calculations","Item Total Weight","Item Weight x Quantity","Вес item line считается как вес одного предмета, умноженный на количество. Вес берется из Quote Draft item row или catalog default. Результат идет в total shipment weight, warning/crew logic, vehicle fit и weight model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Total weight, crew logic, weight model"
"ITM-008","Item Calculations","Total Shipment Weight","SUM(All Item Total Weights)","Общий вес заказа равен сумме total weight всех billable items. Результат идет в vehicle fit и weight-based stage model.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, weight model"
"ITM-009","Item Calculations","Missing Weight Warning","IF(Physical Volume > 0 AND Total Weight = 0, 'Fill up the weight')","Если у item есть объем, но вес не заполнен, калькулятор показывает warning. Это не добавляет цену напрямую, но сигнализирует риск неверной себестоимости.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, broker review"
"ITM-010","Item Calculations","Heavy Item Warning","IF(Item Weight >= 200, 'Extremely heavy')","Если вес одного item >= 200 lb, система помечает item как extremely heavy. Результат идет в warnings и crewNeed = 2.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, crew logic"
"ITM-011","Item Calculations","Two-Person Weight Warning","IF(Item Weight >= 100, 'Heavy. 2 people needed')","Если вес item >= 100 lb, система считает, что требуется 2 человека. Результат идет в crewNeed и затем в pickup/delivery labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew logic, pickup/delivery labor"
"ITM-012","Item Calculations","Bulky Dimension Warning","IF((Length + Width + Height) / 12 >= 11, 'Bulky. 2 people needed')","Если сумма габаритов item в feet >= 11, система считает item bulky и требует 2 человека. Результат идет в crewNeed и labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew logic, pickup/delivery labor"
"ITM-013","Item Calculations","Item Crew Need","IF(Warning contains heavy or 2 people, 2, else 1)","Crew need определяется из warning logic. Если item тяжелый или bulky, item crew need = 2, иначе 1. Результат идет в required crew, pickup team и delivery team.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew, labor"
"VEH-001","Vehicle Fit","Vehicle Fit","First Active Vehicle where Total Effective Volume <= Vehicle Volume AND Total Weight <= Vehicle Payload","Калькулятор выбирает первый active vehicle из References Vehicles, который вмещает заказ по volume и payload. Результат идет в pickup/delivery vehicle cost и vehicle display.","Order","Total effective volume, total weight, References Vehicles","Selected vehicle and interstate vehicle used by stage costs","Vehicle, pickup/delivery mileage"
"VEH-002","Vehicle Fit","Interstate Vehicle","Vehicle by settings.interstateVehicleName, fallback selected vehicle","Для interstate stage используется vehicle из settings.interstateVehicleName. Сейчас baseline = Penske 26 ft. Если vehicle не найден, используется vehicle fit result. Результат идет в interstate fuel, maintenance и driver formulas.","Interstate","Total effective volume, total weight, References Vehicles","Selected vehicle and interstate vehicle used by stage costs","Interstate cost"
"PKG-001","Packaging","Packaging Cost Per Item","Packaging Rate x Quantity","Packaging rate берется из packagingRates по выбранному item packaging. Результат идет в item.packagingCost и totals.packaging. Важно: AS-IS per-item packaging не добавляется напрямую в additionalCharges.","Item","Item packaging dropdown, Item Catalog default, packagingRates","Item packaging cost and packaging display total","Packaging display, cost breakdown"
"PKG-002","Packaging","Packaging Total Display","SUM(Item Packaging Costs) + Packaging Per Shipment","Totals.packaging показывает сумму item packaging plus packagingPerShipment, если есть billable items. Это internal/display metric. В final price AS-IS влияет только packagingPerShipment внутри pickup handling.","Order","Item packaging dropdown, Item Catalog default, packagingRates","Item packaging cost and packaging display total","Breakdown packaging display"
"PROT-001","Protection Plan","Protection Legacy Type","IF Protection Plan = FVP then Full Coverage else Basic Liability","Broker-facing protectionPlan приводится к legacy insurance type для текущего калькулятора. RV и DV считаются как Basic Liability, FVP как Full Coverage. Результат идет в protectionPlans lookup.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Protection cost"
"PROT-002","Protection Plan","RV Protection Cost","0","RV / Released Value использует Basic Liability с rate 0 и fixed fee 0. Результат идет в insuranceCost = 0 и не увеличивает final price.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Protection, final total"
"PROT-003","Protection Plan","FVP Protection Cost","Declared Value x 0.025 + 15","Если выбран FVP / Full Coverage, калькулятор берет declaredValue из item row, умножает на 2.5% и добавляет fixed fee $15. Результат идет в item.insuranceCost, totals.insurance и serviceCost.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Protection, service cost, final total"
"PROT-004","Protection Plan","DV Price Impact","0 AS-IS because DV maps to Basic Liability pricing","DV сейчас является capture/confirmation behavior и в pricing считается как Basic Liability. Результат не увеличивает final price; wording идет в Estimate Document как confirmation required.","Item","Item protectionPlan field, declaredValue input, protectionPlans","Insurance/protection cost and customer-facing protection status","Protection wording"
"STO-001","Storage","Storage Cost","Effective Volume x Storage Days x Storage Per Cu Ft Per Day","Storage считается по каждому item: effective volume умножается на storage days и storage rate из settings. Результат идет в totals.storage и additionalCharges.","Item","Item storageDays input, effective volume, storage rate variable","Storage cost included in additional charges","Storage, additional charges"
"FUEL-001","Fuel","Internal Fuel Price","Fuel Current Avg x (1 + Fuel Surcharge % / 100)","Fuel price берется из Fuel Prices reference/runtime storage. Калькулятор добавляет surcharge percent. Результат идет в fuel cost per mile.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Fuel cost per mile"
"FUEL-002","Fuel","Fuel Cost Per Mile","Internal Fuel Price / (Vehicle Calculation MPG or Vehicle MPG)","Fuel cost per mile считается из internal fuel price и vehicle MPG. MPG берется из References Vehicles. Если internal fuel или MPG недоступны, используется vehicle.fuelPerMile fallback.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Pickup, delivery, interstate fuel"
"FUEL-003","Fuel","Fuel Cost Per Unit Mile","Fuel Cost Per Mile / Vehicle Denominator","Для interstate allocation fuel cost per mile делится на vehicle volume, если модель volume, или на vehicle payload, если модель weight. Результат идет в interstate fuel component.","Interstate","Fuel Prices reference/runtime variables and Vehicles reference MPG","Fuel cost per mile and per unit mile","Interstate fuel"
"PICK-001","Pickup Stage","Pickup Loading Minutes - Volume","IF Volume < 80 then 205.57 x Volume / (144.87 + Volume), else 73.13 + 0.5 x (Volume - 80)","Pickup loading time по volume model берется из total effective volume и loading coefficients из settings. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup labor"
"PICK-002","Pickup Stage","Pickup Loading Minutes - Weight","Total Weight x 0.2","Pickup loading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup labor"
"DEL-001","Delivery Stage","Delivery Unloading Minutes - Volume","Total Effective Volume x 0.5","Delivery unloading time по volume model берется из total effective volume и unloadingPerCuFtMinute. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery labor"
"DEL-002","Delivery Stage","Delivery Unloading Minutes - Weight","Total Weight x 0.2","Delivery unloading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery labor"
"PICK-003","Pickup Stage","Pickup Labor Cost","MAX(Pickup Load Minutes, 40) x Wage Per Minute x Pickup Team + Pickup Wage Per Mile x Pickup Distance x Pickup Team","Pickup labor берет load minutes, minimum loading minutes, wagePerMinute, pickupDistance и pickupTeam. Результат идет в pickupCost и stageBreakdown.pickup.labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost"
"DEL-003","Delivery Stage","Delivery Labor Cost","MAX(Delivery Unload Minutes, 30) x Wage Per Minute x Delivery Team + Pickup Wage Per Mile x Delivery Distance x Delivery Team","Delivery labor берет unload minutes, minimum delivery minutes = minLoadingMinutes - 10, wagePerMinute, deliveryDistance и deliveryTeam. Результат идет в deliveryCost и stageBreakdown.delivery.labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost"
"PICK-004","Pickup Stage","Pickup Mileage Cost","Pickup Distance x Vehicle Maintenance Per Mile + Pickup Distance x Fuel Cost Per Mile","Pickup mileage cost берет pickupDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost"
"DEL-004","Delivery Stage","Delivery Mileage Cost","Delivery Distance x Vehicle Maintenance Per Mile + Delivery Distance x Fuel Cost Per Mile","Delivery mileage cost берет deliveryDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost"
"PICK-005","Pickup Stage","Pickup Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate + Packaging Per Shipment","Pickup handling зависит от selected model amount: effective volume или total weight. Rates берутся из settings. Результат идет в pickupCost. PackagingPerShipment включается здесь.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost"
"DEL-005","Delivery Stage","Delivery Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate / 2","Delivery handling зависит от selected model amount. Truck loading rate делится на 2. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost"
"PICK-006","Pickup Stage","Pickup Management / Dispatch","Management Fee + Dispatch Fee","К pickup stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost"
"DEL-006","Delivery Stage","Delivery Management / Dispatch","Management Fee + Dispatch Fee","К delivery stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost"
"PICK-007","Pickup Stage","Pickup Cost","Pickup Mileage + Pickup Labor + Pickup Handling + Management Fee + Dispatch Fee","Pickup subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.pickup.total.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Route cost, service cost"
"DEL-007","Delivery Stage","Delivery Cost","Delivery Mileage + Delivery Labor + Delivery Handling + Management Fee + Dispatch Fee","Delivery subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.delivery.total.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Route cost, service cost"
"INT-001","Interstate Stage","Interstate Maintenance","Amount x Interstate Distance x Vehicle Maintenance Per Unit Mile","Interstate vehicle cost берет selected model amount, interstate distance и maintenance per unit mile у interstate vehicle. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost"
"INT-002","Interstate Stage","Interstate Fuel","Amount x Interstate Distance x Fuel Cost Per Unit Mile","Interstate fuel берет selected model amount, interstate distance и fuel cost per unit mile. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost"
"INT-003","Interstate Stage","Interstate Driver","Interstate Driver Cost Per Mile / Vehicle Denominator x Interstate Distance x Amount x Interstate Team","Driver cost распределяется по vehicle denominator, distance и selected amount. Interstate team сейчас = 1. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost"
"INT-004","Interstate Stage","Interstate Cost","Interstate Maintenance + Interstate Fuel + Interstate Driver","Interstate subtotal складывает vehicle cost, fuel и driver. Результат идет в routeCost и stageBreakdown.interstate.total.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","Interstate fuel, maintenance, driver, interstate subtotal","Route cost, service cost"
"FINAL-001","Final Total","Damage Surcharge","Amount x Repair Cost Per Unit","Damage surcharge зависит от selected model: repairCostPerCuFt для volume или repairCostPerLb для weight. Результат идет в serviceCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Service cost, final total"
"FINAL-002","Final Total","Service Cost","Pickup Cost + Delivery Cost + Interstate Cost + Damage Surcharge + Insurance Cost","Service cost складывает три stage costs, damage surcharge и protection/insurance cost. Результат идет в priceExcludingBrokerFee и operationalCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Operational cost, margin, final total"
"FINAL-003","Final Total","Stage Margin","(Pickup Cost + Delivery Cost + Interstate Cost) x Margin Rate","Margin считается от route stage costs, без storage/access/adjustments. MarginRate берется из settings. Результат идет в priceExcludingBrokerFee.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Price excluding broker fee"
"FINAL-004","Final Total","Price Excluding Broker Fee","Service Cost + Stage Margin","Цена до broker fee складывает service cost и stage margin. Результат идет в brokeredPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Brokered price"
"FINAL-005","Final Total","Brokered Price","Price Excluding Broker Fee / (1 - Broker Fee Rate)","Broker fee gross-up делит price excluding broker fee на 1 - brokerFeeRate. Сейчас brokerFeeRate = 4%. Результат идет в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-006","Final Total","Volume Model Price","calculateExcelStageCosts(measure = volume, amount = Total Effective Volume)","Калькулятор считает pickup/interstate/delivery модель по effective volume. Результат сравнивается с weight model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Model selection"
"FINAL-007","Final Total","Weight Model Price","calculateExcelStageCosts(measure = weight, amount = Total Weight)","Калькулятор считает pickup/interstate/delivery модель по total weight. Результат сравнивается с volume model.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Model selection"
"FINAL-008","Final Total","Selected Pricing Model","MAX(Volume Model Price, Weight Model Price)","AS-IS калькулятор выбирает более дорогую модель по priceExcludingBrokerFee. Результат selectedCosts используется для routeCost, serviceCost, rawPrice и finalPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Final pricing model"
"FINAL-009","Final Total","Route Cost","Selected Pickup Cost + Selected Delivery Cost + Selected Interstate Cost","Route cost складывает pickup, delivery и interstate costs из выбранной volume/weight модели. Результат идет в totals.routeCost и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Operational cost, breakdown"
"ACC-001","Access Conditions","Access COI Fee","COI Fee x Count(COI pickup/delivery points)","Если COI включен на pickup или delivery, добавляется coiFee за каждую точку. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Additional charges"
"ACC-002","Access Conditions","Access Stairs Fee","Stairs Fee Per Floor x MAX(Floor, 1) when Stairs = TRUE","Если legacy stairs flag включен, калькулятор умножает ставку за этаж на floor. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Additional charges"
"ACC-003","Access Conditions","Access Narrow / Elevator Unavailable Fee","Narrow Access Fee when NarrowAccess = TRUE OR ElevatorUnavailable = TRUE","Если narrowAccess или elevatorUnavailable true, добавляется narrowAccessFee. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Additional charges"
"ACC-004","Access Conditions","Access Long Carry Fee","CEILING(Long Carry Ft / 50) x Long Carry Fee Per 50 Ft","Long carry считается блоками по 50 ft с округлением вверх. Результат идет в accessFees.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Additional charges"
"ACC-005","Access Conditions","Access Fees Total","Pickup Access Fees + Delivery Access Fees","Access fees суммируют COI, stairs, narrow/elevatorUnavailable и long carry по pickup и delivery. Результат идет в additionalCharges.","Access","Pickup/delivery access fields and access fee variables","Access fees included in additional charges","Additional charges, final total"
"OPT-001","Order Options","Priority Date Fee","IF Priority Date = TRUE, Priority Date Fee, 0","В коде есть optionFees для priorityDate, но текущий UI принудительно сохраняет priorityDate = false. Если true, результат идет в additionalCharges.","Order Option","Quote options and runtime option variables","Option fee or operational-cost display impact","Additional charges"
"OPT-002","Order Options","Exclusive Delivery Operational Cost","IF Exclusive Delivery = TRUE, Service Cost x Exclusive Delivery Multiplier, else Service Cost","В коде operationalCost может умножаться на exclusiveDeliveryMultiplier. Текущий UI принудительно сохраняет exclusiveDelivery = false. Результат используется как internal operationalCost display.","Order Option","Quote options and runtime option variables","Option fee or operational-cost display impact","Operational cost display"
"ADJ-001","Adjustments","Special Labor Cost","IF Extra Labor People > 0 AND Extra Labor Hours > 0, People x Hours x Rate, else 0","Special labor берет people, hours и hidden/internal rate из quote.options. Default rate = $50/hour. Результат идет в quoteAdjustment и final price, только если есть billable items.","Order Option","Special labor fields and legacy manual adjustment","Quote adjustment added to raw price","Quote adjustment, final total"
"ADJ-002","Adjustments","Legacy Manual Adjustment","MAX(Manual Adjustment, 0)","Legacy manualAdjustment сохраняется для старых drafts/snapshots. Новые broker adjustments должны использовать Special Labor. Результат идет в quoteAdjustment.","Order Option","Special labor fields and legacy manual adjustment","Quote adjustment added to raw price","Quote adjustment, final total"
"FINAL-010","Final Total","Additional Charges","Storage + Access Fees + Option Fees","Additional charges складывают storage, accessFees и optionFees. Результат добавляется к brokeredPrice в rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-011","Final Total","Quote Adjustment","Special Labor Cost + Legacy Manual Adjustment","Quote adjustment складывает special labor и legacy manual adjustment. Результат добавляется к rawPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Raw price, final total"
"FINAL-012","Final Total","Raw Price","Brokered Price + Additional Charges + Quote Adjustment","Raw price — цена до финального округления. Берется brokeredPrice, additionalCharges и quoteAdjustment. Результат идет в final price rounding.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Final price"
"FINAL-013","Final Total","Margin Display","MAX(0, Raw Price - Operational Cost - Additional Charges - Quote Adjustment)","Internal margin display считается как остаток после operationalCost, additionalCharges и adjustments. Результат показывается в Cost Breakdown, но не в customer Estimate Document.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown"
"FINAL-014","Final Total","Final Customer Price","IF Billable Items exist, CEILING(Raw Price, 10), else 0","Final customer price равен raw price, округленному вверх до $10, если есть billable items. Если billable items нет, итог = $0. Результат идет в Estimate Document, My Estimates и Cost Breakdown.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Estimate Document, final total"
"FINAL-015","Final Total","Rounding Delta","Final Customer Price - Raw Price","Rounding delta показывает, сколько добавило округление. Результат идет в totals.roundingDelta для audit.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown"
"FINAL-016","Final Total","Effective Cost Per Cu Ft","IF Total Shipment Volume > 0, Final Customer Price / Total Shipment Volume, else 0","Effective $/cu ft — internal metric для broker/admin review. Берется finalPrice и totalVolume. Не влияет на цену.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Summary, Cost Breakdown"
"FINAL-017","Final Total","Item Reference Allocation Method","IF Total Weight > 0 then Weight else IF Total Effective Volume > 0 then Effective Volume else None","Калькулятор выбирает метод распределения final price по items: сначала weight share, иначе effective volume share. Это internal allocation metric.","Order/Item","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Item reference price"
"FINAL-018","Final Total","Item Reference Price","IF Weight method, Final Price x Item Weight / Total Weight; else Final Price x Item Effective Volume / Total Effective Volume","Item Ref. Price распределяет итоговую цену по items для internal unit economics. Не влияет на final price и не должен использоваться как declared value.","Item","Selected stage costs, service cost, additional charges, broker fee, rounding","Raw price, margin display, final customer price, item allocation","Cost Breakdown, item economics"
"SNAP-001","Snapshot / Audit","Estimate Snapshot Formula Version","formulaVersion + variablesSnapshot + quote + result","При Generate Estimate система сохраняет frozen snapshot: formulaVersion, variablesSnapshot, quote и result. Результат нужен, чтобы старые estimates не пересчитывались после изменения variables.","Snapshot","Generated estimate snapshot: formulaVersion, variablesSnapshot, quote, result","Frozen estimate audit trail","Estimate Document, audit"
