"ID","Блок","Формула / переменная","Формульный расчет","Описание логики на русском","Откуда берется","Куда передается","Статус согласования","Вопрос CEO"
"TBE-BRK-002","Broker Payout","Broker Commission","brokerCommission = brokerCommissionBase x brokerCommissionRate","Считает выплату broker как процент от утвержденной базы.","Commission base, broker commission rate.","Broker payout, net margin.","Нужно утвердить CFO","Rate единый или зависит от source/channel/broker?"
"TBE-BRK-003","Broker Payout","Broker Minimum / Cap","brokerPayout = min(max(calculatedCommission, minPayout), maxPayout)","Ограничивает broker payout минимумом/максимумом, чтобы выплаты были предсказуемы.","Calculated commission, payout min/max.","Broker payout, final profitability.","Нужно утвердить CFO","Нужны ли cap/floor для broker payout?"
"TBE-BRK-004","Broker Payout","Broker Payout Eligibility","eligiblePayout = IF(orderStatus/paymentStatus qualifies, brokerPayout, 0)","Проверяет, когда broker payout должен начисляться: после estimate, invoice, payment, pickup или delivery.","Order status, payment status, payout policy.","Broker payout accrual.","Нужно утвердить","На каком событии начисляется broker payout?"
"TBE-DSP-001","Dispatcher Payout","Dispatcher Payout Base","dispatcherPayoutBase = ordersHandled x ratePerOrder OR revenueBase x dispatcherRate","Определяет базу для выплаты dispatcher: per order, процент от revenue или гибрид.","Orders handled, revenue base, dispatcher plan.","Dispatcher payout.","Нужно утвердить","Dispatcher paid per order, per stage, per revenue or KPI?"
"TBE-DSP-002","Dispatcher Payout","Dispatcher Payout","dispatcherPayout = dispatcherPayoutBase + bonus - penalty","Считает итоговую выплату dispatcher с бонусами/штрафами, если они применяются.","Dispatcher base, bonus rules, penalty rules.","Payroll/admin payout, profitability.","Нужно определить формулу","Нужны ли bonus/penalty в MVP?"
"TBE-DSP-003","Dispatcher Payout","Dispatcher Stage Allocation","dispatcherStageCost = dispatcherPayout x stageShare","Распределяет dispatcher payout по pickup/interstate/delivery, чтобы stage margin был честным.","Dispatcher payout, stage share rule.","Stage cost and margin.","Нужно утвердить","Allocation по revenue, labor hours или equal split?"
"TBE-COST-001","Cost Base","Direct Operational Cost","directCost = pickupCost + interstateCost + deliveryCost + serviceFees","Собирает прямую себестоимость заказа до overhead, payouts, margin и discounts.","Stage subtotals, service fees.","Fully loaded cost, margin calculation.","Нужно утвердить","Какие fees являются direct cost, а какие pass-through?"
"TBE-COST-002","Cost Base","Fully Loaded Cost","fullyLoadedCost = directCost + payrollBurden + brokerPayout + dispatcherPayout + overheadAllocation","Считает полную себестоимость заказа для правильной маржинальности.","Direct cost, payroll, payouts, overhead.","Gross/contribution margin, price floor.","Нужно утвердить CFO","Включать overhead в quote price или только в profitability audit?"
"TBE-COST-003","Cost Allocation","Item Cost Allocation","itemCostShare = itemEffectiveVolume / totalEffectiveVolume x allocatableCost","Распределяет cost по item для audit/ref price, не как declared value.","Item effective volume, total effective volume, allocatable cost.","Item-level audit, internal allocation.","Нужно определить формулу","Allocation делать по volume, weight или hybrid?"
"TBE-COST-004","Cost Allocation","Stage Cost Allocation","stageCostShare = stageCost / totalCost","Показывает, какая доля себестоимости пришлась на pickup/interstate/delivery.","Stage costs, total cost.","Stage margin dashboard, CEO audit.","Ready for Formula Sprint","Нужны ли stage margin targets?"
"TBE-MGN-003","Margin","Gross Margin Dollars","grossMargin = customerRevenue - directOperationalCost","Считает gross margin в долларах до fully loaded payouts/overhead.","Customer revenue, direct cost.","CEO profitability view.","Нужно утвердить CFO","Gross margin считать до или после broker/dispatcher payouts?"
"TBE-MGN-004","Margin","Gross Margin Percent","grossMarginPct = grossMargin / customerRevenue","Показывает gross margin в процентах от customer revenue.","Gross margin, customer revenue.","Margin guardrails, reporting.","Нужно утвердить CFO","Какой minimum gross margin допустим?"
"TBE-MGN-005","Margin","Contribution Margin Dollars","contributionMargin = customerRevenue - fullyLoadedCost","Считает contribution margin после payroll burden, broker/dispatcher payouts и approved overhead.","Customer revenue, fully loaded cost.","Profitability guardrail.","Нужно утвердить CFO","Используем contribution margin как главный контроль?"
"TBE-MGN-006","Margin","Contribution Margin Percent","contributionMarginPct = contributionMargin / customerRevenue","Показывает реальную маржинальность заказа после всех ключевых выплат и cost components.","Contribution margin, customer revenue.","CEO/CFO margin dashboard.","Нужно утвердить CFO","Какой target contribution margin?"
"TBE-MGN-007","Margin","Minimum Margin Guardrail","isMarginOk = contributionMarginPct >= minContributionMarginPct","Блокирует или помечает quote, если цена ниже минимальной маржинальности.","Contribution margin pct, minimum margin pct.","Warning/blocker, discount approval.","Нужно утвердить CEO/CFO","Это warning или blocker для estimate generation?"
"TBE-MGN-008","Margin","Price Floor","priceFloor = fullyLoadedCost / (1 - minContributionMarginPct)","Считает минимальную customer price, ниже которой заказ не должен продаваться.","Fully loaded cost, minimum margin pct.","Discount guardrail, final quote check.","Нужно утвердить CFO","Показывать price floor broker/admin?"
"TBE-MGN-009","Discount","Maximum Allowed Discount","maxDiscount = rawCustomerPrice - priceFloor","Считает максимальную скидку, которую можно дать без нарушения margin floor.","Raw customer price, price floor.","Discount approval, warning/blocker.","Нужно утвердить CFO","Кто может override max discount?"
"TBE-MGN-010","Discount","Post-Discount Margin Check","postDiscountMarginPct = (discountedPrice - fullyLoadedCost) / discountedPrice","Пересчитывает margin после скидки, чтобы discount не разрушал прибыльность.","Discounted price, fully loaded cost.","Final approval, audit.","Нужно утвердить","Какая минимальная post-discount margin?"
"TBE-CAP-001","Capacity","Vehicle Space Utilization","vehicleUtilization = totalEffectiveVolume / selectedVehicleCapacity","Показывает, насколько выбранная машина заполнена по operational volume.","Effective volume, selected vehicle capacity.","Vehicle fit, capacity warning, pricing premium.","Нужен справочник","Какой utilization считается нормальным/опасным?"
"TBE-CAP-002","Capacity","Payload Utilization","payloadUtilization = totalWeight / selectedVehiclePayload","Показывает загрузку vehicle по весу, отдельно от объема.","Total weight, selected vehicle payload.","Vehicle fit, safety/ops warning.","Нужен справочник","Какие payload thresholds trigger review?"
"TBE-CAP-003","Capacity","Route Capacity Opportunity Cost","capacityOpportunityCost = reservedCapacity x routeCapacityRate","Оценивает стоимость занятой capacity на route, особенно для bulky/moving orders.","Reserved capacity, route capacity rate.","Bulky premium, margin guardrail.","Нужно определить формулу","Нужно ли учитывать opportunity cost в customer price?"
"TBE-CAP-004","Capacity","Bulky Capacity Premium","bulkyCapacityPremium = capacityOpportunityCost x bulkyPremiumMultiplier","Добавляет premium, когда заказ занимает слишком много capacity и мешает consolidated economics.","Capacity opportunity cost, bulky multiplier.","Service fee or route premium.","Нужно утвердить CEO","Premium фиксированный, процентный или manual?"
"TBE-REV-001","Revenue","Customer Revenue","customerRevenue = finalCustomerPrice - passThroughExcludedAmounts","Определяет revenue base для margin, commissions and reporting.","Final price, pass-through fees.","Margin, broker payout, reporting.","Нужно утвердить CFO","Какие amounts исключать из revenue base?"
"TBE-REV-002","Revenue","Stage Revenue Allocation","stageRevenue = customerRevenue x stageCost / totalCost","Распределяет revenue по pickup/interstate/delivery пропорционально cost, чтобы видеть stage margin.","Customer revenue, stage cost shares.","Stage margin dashboard.","Нужно определить формулу","Revenue allocation по cost, price components или manual split?"
"TBE-ADJ-001","Adjustments","Approved Manual Override Impact","overrideImpact = approvedOverrideAmount; finalImpact stored with reason and owner","Любой manual override должен иметь reason, owner и audit trail, чтобы не скрывать margin leakage.","Approved override, reason, owner.","Final price, margin audit, change log.","Нужно утвердить governance","Какие роли могут делать override?"
"TBE-LOC-001","Location / Address Type","Address Type Normalization","normalizedAddressType = MAP(rawAddressType, LocationTypeReference)","Тип точки из UI должен нормализоваться в единый справочник. Это нужно, чтобы House, Apartments, Business, Warehouse и Auction одинаково использовались в pickup и delivery расчетах.","Pickup/delivery addressType from Quote Draft access section; Location / Address Types reference.","Pickup/delivery time model, access effort, crew planning.","Нужно утвердить","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-LOC-002","Location / Address Type","Location Type Time Impact","locationTimeMinutes = baseStageMinutes x locationTypeTimeMultiplier + locationTypeFixedMinutes","Тип точки должен увеличивать или уменьшать расчетное время stage. Например, apartment может добавить время доступа, warehouse может снизить handling time, auction может добавить waiting/release time.","Normalized address type; Location / Address Types reference; historical time metrics.","Pickup minutes, delivery minutes, labor hours, fully loaded labor cost.","Нужно утвердить коэффициенты","Какие multipliers и fixed minutes утверждаем для House/Apartments/Business/Warehouse/Auction?"
"TBE-LOC-003","Location / Address Type","Location Type Crew Impact","recommendedCrew = baseCrew + locationTypeCrewImpact + accessCrewImpact","Тип точки должен влиять на рекомендуемый crew, если локация требует больше людей или создает ограничения доступа. Это planning input, не скрытая ручная наценка.","Location / Address Types reference; Access Conditions; crew rules.","Vehicle/crew split, labor cost, capacity planning.","Нужно утвердить","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-LOC-004","Location / Address Type","Parking / Loading Complexity","accessEffortMinutes = parkingLoadingComplexityMinutes + loadingDockPenalty + waitTimeAllowance","Для точки нужно учитывать не только этаж/лифт, но и парковку, loading dock, building access и ожидание. Эти минуты идут в stage time и стоимость труда.","Location / Address Types reference; Access Conditions; historical time metrics.","Pickup/delivery labor minutes and access risk.","Нужно определить данные","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-LOC-005","Location / Address Type","Warehouse Efficiency Adjustment","adjustedHandlingMinutes = handlingMinutes x warehouseEfficiencyFactor","Warehouse/business точка может быть быстрее, если есть dock/loading process. Коэффициент должен быть в справочнике, чтобы не hardcode в формуле.","Location / Address Types reference; loading dock/default access fields.","Pickup/delivery handling time, labor cost.","Нужно утвердить","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-LOC-006","Location / Address Type","Auction Handling Adjustment","auctionHandlingCost = auctionHandlingMinutes / 60 x fullyLoadedHourlyRate x crewSize","Auction требует отдельного handling allowance: ожидание, release, документы, ограниченные окна. Без этого калькулятор может недооценивать labor cost.","Location / Address Types reference; payroll/wage rates; historical time metrics.","Pickup/delivery labor cost, margin guardrail.","Нужно определить данные","Нужен ли отдельный auction fee или достаточно labor time adjustment?"
"TBE-LOC-007","Location / Address Type","Location Effort Score","locationEffortScore = accessComplexityMultiplier + parkingComplexityScore + waitRiskScore + locationTypeCrewImpact","Сводный effort score показывает операционную сложность точки. Он не заменяет деньги напрямую, а помогает объяснить, почему выросли time, crew или risk reserve.","Location / Address Types reference; Access Conditions; historical time metrics.","Time model, crew planning, margin guardrail, audit trace.","Нужно определить шкалу","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-LOC-008","Location / Address Type","Location Risk Reserve","locationRiskReserve = locationLaborCost x locationRiskReservePct when confidence is low or effortScore exceeds threshold","Если тип точки исторически дает высокий риск ожидания/переработки, модель должна показывать отдельный reserve, чтобы CEO видел источник защиты маржи.","Location effort score; time confidence score; margin variables.","Internal cost base or management fee decision, depending on approval.","Нужно утвердить","Утверждаем ли этот location type фактор для Formula Sprint?"
"TBE-HND-001","Item Handling / Crew Feasibility","Max Single Item Weight","maxSingleItemWeight = MAX(unitItemWeight)","Для решения one-person vs two-person смотрим вес самой тяжелой отдельной единицы, а не item weight x quantity. Quantity считается отдельно через totalPieces и totalWeight.","Quote Draft item rows / Quick Quote catalog transfer; unit item weight per piece.","One-person eligibility, min crew by item, pickup/delivery labor model.","Нужно утвердить","Подтверждаем, что maxSingleItemWeight считается только по unit weight, без умножения на quantity?"
"TBE-HND-002","Item Handling / Crew Feasibility","Heaviest Item Weight Class","weightClass = LOOKUP(maxSingleItemWeight, Item Handling Rules weight bands)","Самый тяжелый предмет переводится в weight class: light, standard, heavy, two-person required. Это предотвращает underpricing маленьких по объему, но тяжелых предметов.","Max single item weight; Item Handling / Crew Feasibility Rules reference.","Crew requirement, helper logic, handling score.","Нужно утвердить thresholds","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-003","Item Handling / Crew Feasibility","One-Person Eligibility","onePersonEligible = maxSingleItemWeight <= onePersonMaxItemWeightLb AND noHardAccessConstraint AND noOversizedAwkwardItem","Заказ может быть кандидатом на delivery в одного человека, если самый тяжелый предмет не превышает approved threshold и нет ограничений access/oversized/awkward.","Max item weight, access constraints, item flags, Location / Address Types reference.","Delivery crew split, pickup crew split, labor cost.","Нужно утвердить","Какой max single item weight утверждаем для one-person eligibility: 70 lb или другой threshold?"
"TBE-HND-004","Item Handling / Crew Feasibility","Minimum Crew By Item","minCrewByItem = MAX(ItemHandlingRules[item].minCrew)","Каждый item может требовать minimum crew. Итоговый crew не может быть ниже максимального требования по любому предмету в заказе.","Item catalog, item handling rules, custom item overrides.","Recommended crew, labor hours, payroll cost.","Нужно определить данные","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-005","Item Handling / Crew Feasibility","Large Volume Light Item Exception","largeLightEligible = totalEffectiveVolume > largeLightItemVolumeThresholdCuFt AND maxSingleItemWeight <= onePersonMaxItemWeightLb AND itemHandlingScore < threshold","Большой общий объем сам по себе не должен автоматически означать 2+ crew, если заказ состоит из легких предметов вроде стульев/кресел и каждый предмет доступен для одного человека.","Total effective volume, max single item weight, item handling score, item catalog.","Crew split, labor time model, CEO approval trace.","Нужно утвердить","Разрешаем ли large-volume/light-item exception для chairs/armchairs и похожих заказов?"
"TBE-HND-006","Item Handling / Crew Feasibility","Item Handling Score","itemHandlingScore = weightScore + sizeScore + awkwardnessScore + fragilityScore + packagingScore + accessInteractionScore","Score объясняет, почему предмет требует больше времени/людей: вес, габарит, неудобная форма, хрупкость, упаковка и взаимодействие с access условиями.","Item rows, item catalog flags, packaging, protection, access/location references.","Minimum handling minutes, crew requirement, risk reserve.","Нужно определить шкалу","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-007","Item Handling / Crew Feasibility","Crew Requirement From Items","crewFromItems = IF(onePersonEligible, 1, MAX(minCrewByItem, crewByHandlingScore))","Crew от items считается отдельно от route/location/access. Это защищает от ситуации, когда volume маленький, но предмет требует 2 человек.","One-person eligibility, item min crew, handling score.","Final pickup crew, final delivery crew, labor hours.","Нужно утвердить","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-008","Item Handling / Crew Feasibility","Final Stage Crew Requirement","stageCrew = MAX(baseCrew, crewFromItems, crewFromAccess, crewFromLocation, manualCrewOverride)","Итоговый crew для pickup/delivery берется как максимум из item, access, location и manual override. Так ни один риск не затирается другим блоком.","Item handling rules, access conditions, location type, broker/manual override.","Pickup labor hours, delivery labor hours, payroll cost, final price.","Нужно утвердить","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-009","Item Handling / Crew Feasibility","Item Minimum Handling Time Floor","stageItemTimeFloor = SUM(itemMinimumHandlingMinutes x quantity x handlingComplexityMultiplier)","Даже если volume небольшой, каждый предмет имеет minimum handling time. Это защищает расчет от занижения labor для тяжелых или неудобных единичных предметов.","Item Handling Rules, item quantity, handling class.","Pickup/delivery time floor, labor cost.","Нужно определить данные","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-010","Item Handling / Crew Feasibility","Stage Time Guardrail","stageMinutes = MAX(orderLevelTimeModelMinutes, stageItemTimeFloor)","Финальное время stage не может быть ниже суммы item-level minimum handling time. Order-level volume model и item-level floor работают вместе.","Order time model, item minimum handling floor.","Pickup/delivery labor cost, margin guardrail.","Нужно утвердить","Утверждаем ли item-level crew feasibility как обязательный блок Formula Sprint?"
"TBE-HND-011","Item Handling / Crew Feasibility","Unit Item Weight","unitItemWeight = item.weight","Фиксирует вес одной физической единицы. Это защищает от ошибки, когда 10 легких предметов по 20 lb превращаются в один фиктивный heavy item 200 lb.","Quote Draft item row / catalog default / broker override.","Max single item weight, heavy piece count, one-person eligibility.","Ready for Formula Sprint","Утверждаем как обязательный item-handling guardrail?"
"TBE-HND-012","Item Handling / Crew Feasibility","Total Pieces","totalPieces = SUM(item.quantity)","Считает количество мест/единиц в заказе. Piece count влияет на время обработки, но не должен сам создавать heavy item.","Quote Draft item quantities / Quick Quote transfer.","Piece handling minutes, trip/load complexity, UAT trace.","Ready for Formula Sprint","Утверждаем как обязательный item-handling guardrail?"
"TBE-HND-013","Item Handling / Crew Feasibility","Heavy Piece Count","heavyPieceCount = SUM(IF(unitItemWeight >= heavyPieceWeightThresholdLb, quantity, 0))","Считает, сколько физических единиц являются тяжелыми. Один тяжелый предмет задает crew floor, а несколько тяжелых предметов увеличивают helper active time.","Unit item weight, quantity, Item Handling Rules.","Crew requirement, helper active minutes, stage time floor.","Нужно утвердить threshold","Утверждаем как обязательный item-handling guardrail?"
