"Issue ID","Area","Severity","Type","Entity IDs","Entity Name","Finding","Decision","Test Assumption"
"FOR-NORM-042","Formulas","P1","Dependency mapping gap","TBE-ITM-004","Bulky Premium","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-043","Formulas","P2","Related / overlapping formula","TBE-VEH-001; VEH-001","Vehicle Fit","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-044","Formulas","P1","Dependency mapping gap","TBE-VEH-001","Vehicle Fit","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-045","Formulas","P1","Dependency mapping gap","TBE-LAB-001","Pickup Time","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-046","Formulas","P1","Dependency mapping gap","TBE-LAB-002","Delivery Time","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-047","Formulas","P1","Dependency mapping gap","TBE-DIR-001","Direct Fee","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-048","Formulas","P1","Dependency mapping gap","TBE-INT-001","Linehaul Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-049","Formulas","P1","Dependency mapping gap","TBE-FEE-001","Crate Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-050","Formulas","P1","Dependency mapping gap","TBE-FEE-002","RV / FVP / DV","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-051","Formulas","P2","Related / overlapping formula","TBE-FEE-003; STO-001","Storage Cost","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-052","Formulas","P1","Dependency mapping gap","TBE-ACC-001","Floor / Elevator / COI","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-053","Formulas","P1","Dependency mapping gap","TBE-MGN-002","Discount Guardrail","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-054","Formulas","P1","Dependency mapping gap","TBE-SNAP-001","Immutable Estimate","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-055","Formulas","P1","Dependency mapping gap","TBE-GOV-001","Editable Variable Rule","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-056","Formulas","P1","Dependency mapping gap","TBE-LAB-007","Labor Productivity Rate","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-057","Formulas","P1","Dependency mapping gap","TBE-PAY-002","Crew Overtime Pay","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-058","Formulas","P1","Dependency mapping gap","TBE-PAY-005","Stage Labor Cost Allocation","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-059","Formulas","P1","Dependency mapping gap","TBE-BRK-001","Broker Commission Base","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-060","Formulas","P1","Dependency mapping gap","TBE-DSP-001","Dispatcher Payout Base","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-061","Formulas","P2","Related / overlapping formula","TBE-DSP-002; TBE-MRG-014","Dispatcher Payout","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-062","Formulas","P1","Dependency mapping gap","TBE-COST-001","Direct Operational Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-063","Formulas","P2","Related / overlapping formula","TBE-CAP-001; INT-CAP-002-VOLUME-UTILIZATION; FIT-002-CAPACITY-FIT-BY-VOLUME","Vehicle Space Utilization","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-064","Formulas","P1","Dependency mapping gap","TBE-CAP-001","Vehicle Space Utilization","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-065","Formulas","P2","Related / overlapping formula","TBE-CAP-002; INT-CAP-003-PAYLOAD-UTILIZATION; FIT-003-CAPACITY-FIT-BY-WEIGHT","Payload Utilization","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-066","Formulas","P1","Dependency mapping gap","TBE-CAP-002","Payload Utilization","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-067","Formulas","P2","Related / overlapping formula","TBE-CAP-004; WARN-002-BULKY-ORDER","Bulky Capacity Premium","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-068","Formulas","P1","Dependency mapping gap","TBE-REV-001","Customer Revenue","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-069","Formulas","P2","Related / overlapping formula","TBE-VEH-002; FIT-001-DIMENSIONAL-FIT","Vehicle Dimensional Fit","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-070","Formulas","P1","Dependency mapping gap","TBE-VEH-003","Door Opening Fit","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-071","Formulas","P1","Dependency mapping gap","TBE-VEH-005","Side Transport Review","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-072","Formulas","P2","Related / overlapping formula","TBE-VEH-006; FIT-005-RECOMMENDED-VEHICLE-CHANGE","Higher Body Vehicle / Box Truck Recommended","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-073","Formulas","P1","Dependency mapping gap","TBE-VEH-006","Higher Body Vehicle / Box Truck Recommended","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-074","Formulas","P1","Dependency mapping gap","TBE-VEH-008","Final Vehicle Eligibility","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-075","Formulas","P1","Dependency mapping gap","TBE-CAP-005","Shipment Density","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-076","Formulas","P2","Related / overlapping formula","TBE-CAP-006; INT-CAP-001-DENSITY-THRESHOLD","Vehicle Density Capacity","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-077","Formulas","P1","Dependency mapping gap","TBE-CAP-006","Vehicle Density Capacity","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-078","Formulas","P2","Related / overlapping formula","TBE-CAP-007; INT-CAP-004-CAPACITY-CONSTRAINT-SELECTOR; INT-CAP-006-VOLUME-LIMITED-LOAD; INT-CAP-007-WEIGHT-LIMITED-LOAD","Capacity Constraint Type","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-079","Formulas","P1","Dependency mapping gap","TBE-CAP-007","Capacity Constraint Type","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-080","Formulas","P2","Related / overlapping formula","TBE-CAP-008; INT-CAP-005-INTERSTATE-COST-BASIS","Limiting Capacity Factor","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-081","Formulas","P1","Dependency mapping gap","TBE-CAP-008","Limiting Capacity Factor","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-082","Formulas","P2","Related / overlapping formula","TBE-CAP-009; INT-CAP-005-INTERSTATE-COST-BASIS","Interstate Capacity Cost","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-083","Formulas","P2","Related / overlapping formula","TBE-CAP-010; INT-CAP-005-INTERSTATE-COST-BASIS","Legacy Dual Cost Guardrail","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-084","Formulas","P1","Dependency mapping gap","TBE-CAP-010","Legacy Dual Cost Guardrail","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-085","Formulas","P1","Dependency mapping gap","TBE-CAP-011","Capacity Overflow Flag","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-086","Formulas","P1","Dependency mapping gap","TBE-TIME-011","Historical Time Calibration","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-087","Formulas","P2","Related / overlapping formula","TBE-TIME-012; LAB-TIME-001-VOLUME-BASED-HANDLING-TIME; LAB-TIME-002-WEIGHT-BASED-HANDLING-TIME; LAB-TIME-003-HANDLING-TIME-SELECTOR; LAB-TIME-006-PICKUP-TIME-COEFFICIENT","Pickup Loading Minutes","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-088","Formulas","P2","Related / overlapping formula","TBE-TIME-013; LAB-TIME-004-PICKUP-DELIVERY-TIME-SPLIT; LAB-TIME-007-DELIVERY-TIME-COEFFICIENT","Delivery Unloading Minutes","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-089","Formulas","P2","Related / overlapping formula","TBE-TIME-014; LAB-TIME-005-MINIMUM-HANDLING-TIME","Helper Paid Minutes","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-090","Formulas","P1","Dependency mapping gap","TBE-TIME-015","Fully Loaded Labor Cost","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-091","Formulas","P1","Dependency mapping gap","TBE-WARN-001","Warning Rule Evaluation","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-092","Formulas","P2","Related / overlapping formula","TBE-WARN-002; FIT-002-CAPACITY-FIT-BY-VOLUME; FIT-003-CAPACITY-FIT-BY-WEIGHT; FIT-004-FIT-FAILURE-WARNING; WARN-003-ITEM-DOES-NOT-FIT-VEHICLE","Vehicle Fit Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-093","Formulas","P1","Dependency mapping gap","TBE-WARN-002","Vehicle Fit Warning","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-094","Formulas","P2","Related / overlapping formula","TBE-WARN-003; WARN-001-HEAVY-ITEM; WARN-004-MORE-THAN-2-PEOPLE","Crew Review Warning","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-095","Formulas","P1","Dependency mapping gap","TBE-WARN-003","Crew Review Warning","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-096","Formulas","P2","Related / overlapping formula","TBE-WARN-004; WARN-007-MANAGER-APPROVAL-REQUIRED","Quote Can Save","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-097","Formulas","P1","Dependency mapping gap","TBE-MRG-011","Contribution Margin","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-098","Formulas","P1","Dependency mapping gap","TBE-MRG-013","Broker Payout","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-099","Formulas","P2","Related / overlapping formula","TBE-MRG-014; TBE-DSP-002","Dispatcher Payout","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-100","Formulas","P1","Dependency mapping gap","TBE-MRG-014","Dispatcher Payout","Review mapping: Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-101","Formulas","P1","Dependency mapping gap","TBE-RTE-011","Manual ZIP Override","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-102","Formulas","P1","Dependency mapping gap","TBE-SNAP-002","Variable Snapshot","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-103","Formulas","P1","Dependency mapping gap","TBE-SNAP-003","Reference Snapshot","Review mapping: Variable mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-104","Formulas","P2","Related / overlapping formula","INT-CAP-001-DENSITY-THRESHOLD; TBE-CAP-006","Density Threshold","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-105","Formulas","P1","Dependency mapping gap","INT-CAP-001-DENSITY-THRESHOLD","Density Threshold","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-106","Formulas","P2","Related / overlapping formula","INT-CAP-002-VOLUME-UTILIZATION; TBE-CAP-001","Volume Utilization","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-107","Formulas","P1","Dependency mapping gap","INT-CAP-002-VOLUME-UTILIZATION","Volume Utilization","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
"FOR-NORM-108","Formulas","P2","Related / overlapping formula","INT-CAP-003-PAYLOAD-UTILIZATION; TBE-CAP-002","Payload Utilization","Related formula IDs describe the same or a more detailed business concept.","Keep all Formula IDs for traceability; use Related Formula IDs as the implementation bridge.",""
"FOR-NORM-109","Formulas","P1","Dependency mapping gap","INT-CAP-003-PAYLOAD-UTILIZATION","Payload Utilization","Review mapping: Variable mapping, Reference mapping","Use test assumption for Formula Sprint fixture; assign governed dependency before production.","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release."
