"Canonical Reference ID","Name","Description","Key Fields","Source / Owner","Used In","Data Readiness","Risk Note","Alias IDs","Source Scopes","Conflict","Test Assumption"
"REF-012","Quote Options","Quote options source: priority, exclusive, special labor, manual adjustment and direct flags.","Priority, exclusive delivery, special labor, manual adjustment, direct flags","Quote Draft options","Options, Adjustments","Ready","Direct flags are capture-only AS-IS.","","AS-IS","No",""
"REF-013","Estimate Snapshot","Estimate snapshot freezes formulaVersion, variablesSnapshot, quote and result so old estimates remain auditable.","formulaVersion, variablesSnapshot, quote, result","js/ui.js / js/storage.js","Estimate Document, audit","Ready","Frozen historical estimates should use saved result.","","AS-IS","No",""
"REF-TBE-002","Service Areas","Service area reference задает warehouse point, density/corridor/remote logic и ownership зоны.","serviceAreaId, warehousePoint, densityClass, corridorFlag","Хранить branch, warehouse point, zone density и правила зоны.","Route pricing","Test Assumption","Нужен owner.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-003","Distance Matrix / Route Engine","Distance source для local, interstate and direct mileage; должен различать exact и average methods.","origin, destination, miles, method, version","Давать local/interstate/exact mileage.","Pickup/interstate/delivery/direct","Test Assumption","Нужна политика average vs exact.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-004","Vehicles","Vehicle reference позволяет добавлять/менять машины без переписывания формул. Должен хранить не только capacity/payload/cost, но и ссылки на реальные cargo body dimensions.","vehicleType, vehicleName, capacityVolume, capacityWeight, MPG, costPerMile, cargoBodySpecId, activeFlag","Выбирать vehicle и считать cost без изменения формул.","Vehicle fit, interstate, local operations, dimensional fit","Ready","Обязателен до scaling; dimensions должны быть отдельным source of truth.","","TO-BE","No",""
"REF-TBE-005","Labor","Labor reference хранит crew roles, wage, minimum time and time coefficients for pickup/delivery/access.","role, stage, wage, minTime, coefficient","Хранить crew, helper, wage и time coefficients.","Pickup/delivery/access","Test Assumption","Нужны time metrics.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-006","Items Catalog","Items catalog задает default dimensions, weight and handling flags for item-level calculations.","itemType, dimensions, weight, fragile, nonStackDefault","Default dimensions, weight, handling flags.","Item calculations","Test Assumption","Есть AS-IS, нужно расширять.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-007","Packaging / Crate Materials","Packaging/crate material reference нужен для size-based crate formula and approved material prices.","materialType, unitCost, wasteCoeff, vendor","Материалы и ставки для crate.","Custom crate","Test Assumption","Нужна validation operations.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-009","Storage Rates","Storage rates reference задает тарифы хранения по volume/time и effective date.","rate, unit, effectiveDate","Storage by volume/time.","Storage","Ready","Сохранять snapshot compatibility.","","TO-BE","No",""
"REF-TBE-010","Benchmark Cases","Benchmark cases reference нужен для preview impact перед сохранением pricing variables.","caseId, inputs, expectedSubtotal, expectedTotal","Preview changes before saving variables.","Governance/UAT","Ready","Required before variable admin.","","TO-BE","No",""
"REF-TBE-011","Payroll Roles / Wage Rates","Справочник ставок по ролям нужен для crew pay, helper pay и fully loaded labor cost.","role, branch, hourlyWage, overtimePolicy, effectiveDate","Содержит ставки оплаты crew/helper/driver по role, branch, effective date.","Payroll, labor cost, margin","Test Assumption","Нужен CFO/Ops owner.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-012","Broker Compensation Plans","Определяет broker commission rules, eligibility, caps/floors and payout event.","brokerId, channel, commissionRate, cap, floor, eligibilityEvent","Хранит правила выплат broker по broker/channel/source.","Broker payout, net margin","Test Assumption","Нужен CFO/Sales approval.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-013","Dispatcher Compensation Plans","Определяет модель выплат dispatcher и allocation по stages/orders.","dispatcherId, payoutType, rate, bonusRule, penaltyRule","Хранит per-order/per-revenue/KPI payout rules.","Dispatcher payout, fully loaded cost","Test Assumption","Нужно решить MVP model.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-014","Overhead Allocation Rules","Нужен для fully loaded cost и contribution margin.","overheadType, allocationMethod, rate, effectiveDate","Определяет, как распределять admin/ops overhead на заказ.","Fully loaded cost, contribution margin","Ready","Может быть audit-only на MVP.","","TO-BE","No",""
"REF-TBE-015","Capacity Economics","Нужен для route capacity opportunity cost и bulky premium.","routeType, capacityUnitRate, utilizationThreshold, premiumMultiplier","Хранит route capacity rate, utilization thresholds and premium rules.","Capacity premium, margin guardrail","Test Assumption","Нужна data validation.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-016","Location / Address Types","Справочник типов точки pickup/delivery. UI уже собирает House, Apartments, Business, Warehouse, Auction; справочник должен задавать, как тип точки влияет на время, усилие, доступ, crew и риск ожидания.","addressType, stage, baseTimeMultiplier, fixedLocationMinutes, accessComplexityMultiplier, crewImpact, loadingDockDefault, parkingComplexity, coiDefault, activeFlag","Отделить address type от access conditions и использовать его как источник коэффициентов time/effort.","Pickup time, delivery time, access effort, crew split, labor cost, margin guardrail","Test Assumption","Нужен источник данных и бизнес-утверждение коэффициентов.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TIME-001","Historical Time Metrics","Фактическое время прошлых заказов для калибровки pickup/delivery коэффициентов.","orderId, stage, addressType, volume, weight, itemCount, crew, actualMinutes, dataQuality","Хранить фактические stop/stage times and context.","Pickup/delivery time model, productivity, confidence","Test Assumption","Нужен сбор данных и правила качества.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TIME-002","Access Time Reference","Минуты влияния floor/stairs/elevator/long carry/COI/narrow access.","accessType, stage, fixedMinutes, multiplier, confidence","Хранит stage-specific access time impacts.","Access time impact","Test Assumption","Нужно избежать double-counting с access fees.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TIME-003","Packaging Time Reference","Время упаковки по packaging type и item count.","packagingType, minutesPerItem, minimumMinutes, complexityClass","Хранит minutes per item and minimums.","Packing minutes, payroll","Test Assumption","Нужна калибровка operations.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TIME-004","Crate Labor Reference","Время изготовления crate по size/complexity.","crateType, surfaceAreaBand, minutesPerSqFt, minimumMinutes","Хранит minutes per sq ft and minimum labor.","Crate labor minutes","Test Assumption","Нужно утвердить вместе с crate formula.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TIME-005","Time Data Quality Rules","Правила доверия к time data.","dataQualityStatus, minimumSampleSize, confidenceScore, exclusionReason","Определяет trusted/estimated/incomplete/excluded.","Confidence score, coefficient calibration","Ready","Без quality rules coefficients могут быть искажены.","","TO-BE","No",""
"REF-TBE-017","Item Handling / Crew Feasibility Rules","Справочник правил item-level handling. Главный driver для one-person feasibility - вес самой тяжелой физической единицы, а не общий объем и не weight x quantity. Volume остается важным для capacity/time, но не должен автоматически означать 2+ crew.","itemType, unitItemWeightBand, totalPieceBand, heavyPieceThreshold, itemLengthBand, awkwardnessClass, onePersonEligibleFlag, minCrew, minutesPerPiece, helperActiveMinutes, exceptionRule, activeFlag","Определять, можно ли pickup/delivery выполнить одним человеком, когда нужен helper, сколько мест обрабатывать, и какие lightweight bulky exceptions разрешены.","Item handling score, crew split, piece handling time, helper active time, pickup/delivery labor cost, margin guardrail","Test Assumption","Нужно утвердить thresholds по unit weight, piece count, helper policy и собрать field feedback.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-018","Physical Access Feasibility Rules","Справочник физической проходимости: сопоставляет item/crate dimensions с doorway, elevator, stairs, turns, narrow access and long carry.","accessType, itemDimensionLimit, doorwayWidth, elevatorDepth, stairTurnLimit, crateFlag, reviewRule, extraMinutes, activeFlag","Выявлять hard access blockers, manual review и extra labor до утверждения quote.","Hard access crew rule, manual review, access risk, helper active minutes","Test Assumption","Нужен data capture по access dimensions; на MVP может быть manual review rule.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-019","Vehicle Dimensions / Cargo Body Specs","Справочник реальных габаритов кузова и дверных проемов всего парка: Sprinter, Box Truck, Penske, van и другие vehicle types. Высота вроде 72 in является параметром конкретного кузова, а не общей формульной константой.","cargoBodySpecId, vehicleType, cargoInteriorLengthIn, cargoInteriorWidthIn, cargoInteriorHeightIn, doorOpeningWidthIn, doorOpeningHeightIn, payloadLb, capacityCuFt, rampFlag, liftGateFlag, tieDownFlag, activeFlag","Проверять dimensional fit, selected vehicle height exceeded, side transport и необходимость машины с более высоким кузовом.","Vehicle dimensional fit, selected vehicle height check, door opening fit, higher body vehicle recommendation, equipment requirement","Test Assumption","Нужно собрать размеры всего парка; любые 72/96/155 in хранить как данные конкретного body spec.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-020","Warning / Approval Rules","Справочник red flags и approval правил: что срабатывает, какой severity, блокирует ли quote, кто approve.","ruleId, triggerFormula, severity, messageRu, blocksQuote, approvalRole, activeFlag","Дать broker/admin понятные предупреждения и не выпускать рискованные estimates без подтверждения.","Warnings, quote save, approval workflow","Ready","Обязательный справочник перед Formula Sprint.","","TO-BE","No",""
"REF-TBE-021","Formula Constants Audit","Карта всех числовых коэффициентов в формулах: что означает число, какая переменная его заменяет, кто утверждает.","constantValue, variableId, formulaId, meaning, owner, status","Убрать скрытые hardcoded numbers из pricing formulas.","Formula governance, CEO review","Test Assumption","Нужно заполнить до изменения js/calculator.js.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-022","Route Capacity Cost Reference","Справочник полной стоимости route/truck capacity для распределения interstate cost между заказами.","routeId, vehicleType, fullRouteCapacityCost, costPerCuFt, costPerLb, effectiveDate","Считать interstate cost по лимитирующему фактору объема/веса.","Interstate capacity cost, density pricing","Test Assumption","Нужен источник данных Finance/Ops.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
"REF-TBE-023","Formula Version Registry","Реестр версий формул и правил, используемых в snapshot.","formulaVersion, activeFrom, activeTo, approvedBy, changeReason","Сделать старые estimates воспроизводимыми после изменения variables/references.","Snapshot, audit, release governance","Ready","Обязателен для масштабирования.","","TO-BE","No",""
"REF-TBE-024","Manual ZIP Override Register","Справочник утвержденных ручных изменений ZIP/zone/corridor/remote классификации.","zip, overrideZone, reason, approvedBy, activeFrom, activeTo","Позволить быстро править зоны без переписывания кода.","Route governance, zone fees, warnings","Test Assumption","Нужен approval process.","","TO-BE","No","Use current local seed/reference fixture for tests; production source and owner remain required."
