"Canonical Variable ID","Name","Description","Current / Example Value","Unit / Type","Source","Used In","Owner","Data Readiness","Governance","Alias IDs","Source Scopes","Conflict","Test Assumption"
"VAR-014","minLoadingMinutes","Минимум billable labor time для pickup = 40 минут; delivery minimum в AS-IS считается как minLoadingMinutes - 10 = 30 минут.","40","minutes","js/variables.js settings","Pickup and delivery labor minimum","Business owner to confirm","Ready","Delivery uses minLoadingMinutes - 10.","","AS-IS","No",""
"VAR-015","wagePerMinute","Стоимость одной минуты работы одного человека. Умножается на billable minutes и crew size.","0.4777088333","USD/min/person","js/variables.js settings","Pickup/Delivery Labor","Business owner to confirm","Ready","Labor economics variable.","","AS-IS","No",""
"VAR-016","pickupWagePerMile","Labor mileage component: стоимость времени/перемещения crew на локальные pickup/delivery miles.","0.6369451111","USD/mile/person","js/variables.js settings","Pickup/Delivery Labor mileage","Business owner to confirm","Ready","Labor economics variable.","","AS-IS","No",""
"VAR-017","interstateDriverCostPerMile","Driver cost per mile для interstate stage. Участвует в long-haul себестоимости.","0.56825","USD/mile","js/variables.js settings","Interstate Driver","Business owner to confirm","Ready","Linehaul economics variable.","","AS-IS","No",""
"VAR-TBE-014","managementFee","Management fee variable. Нужно утвердить, применяется ли per order, per stage или иначе.","","Variable","","Final price / service fees","CEO / Finance","Test Assumption","Определить per order или per stage.","VAR-018","AS-IS; TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-019","dispatchFee","Dispatch fee добавляется в pickup/delivery stage как фиксированная dispatch component.","3.5","USD/stage","js/variables.js settings","Pickup/Delivery Management Dispatch","Business owner to confirm","Ready","Governance needed.","","AS-IS","No",""
"VAR-020","coiFee","COI fee добавляет access charge, если certificate of insurance требуется на pickup/delivery point.","25","USD/point","js/variables.js settings","Access COI Fee","Business owner to confirm","Ready","Access fee variable.","","AS-IS","No",""
"VAR-021","stairsFeePerFloor","Legacy stairs fee per floor. Используется для access surcharge по этажам/лестнице.","18","USD/floor","js/variables.js settings","Access Stairs Fee","Business owner to confirm","Ready","Legacy access fee variable.","","AS-IS","No",""
"VAR-022","narrowAccessFee","Legacy narrow/elevator unavailable fee. Используется как access surcharge для сложного доступа.","20","USD/point","js/variables.js settings","Access Narrow / Elevator Unavailable Fee","Business owner to confirm","Ready","Legacy access fee variable.","","AS-IS","No",""
"VAR-023","longCarryFeePer50Ft","Long carry fee за каждые 50 ft переноски. Увеличивает access cost при длинном переносе.","12","USD/50 ft","js/variables.js settings","Access Long Carry Fee","Business owner to confirm","Ready","Legacy access fee variable.","","AS-IS","No",""
"VAR-024","priorityDateFee","Priority date fee существует в формуле, но в текущем UI AS-IS не активируется автоматически.","75","USD/order","js/variables.js settings","Priority Date Fee","Business owner to confirm","Ready","Formula exists; current UI forces false.","","AS-IS","No",""
"VAR-025","exclusiveDeliveryMultiplier","Exclusive delivery multiplier существует в формуле, но в текущем UI AS-IS не активируется автоматически.","1.35","multiplier","js/variables.js settings","Exclusive Delivery Operational Cost","Business owner to confirm","Ready","Formula exists; current UI forces false.","","AS-IS","No",""
"VAR-026","extraLaborRate","Special labor hourly rate: ручная доплата people x hours x rate для approved extra labor.","50","USD/hour/person","quote.options default","Special Labor Cost","Business owner to confirm","Ready","Hidden broker rate; CFO-approved MVP variable.","","AS-IS","No",""
"VAR-027","interstateVehicleName","Default interstate vehicle name. Определяет vehicle reference для interstate calculation baseline.","Penske 26 ft","vehicle name","js/variables.js settings","Interstate Vehicle","Business owner to confirm","Ready","Operational reference variable.","","AS-IS","No",""
"VAR-028","fuel currentAvg / fuelSurchargePct","Fuel variables: текущая средняя цена топлива и surcharge используются для fuel cost per mile.","Regular 4.555 / Diesel 5.652; surcharge 10%","USD/gal, %","Fuel Prices reference/runtime storage","Fuel Cost Per Mile","Business owner to confirm","Ready","Needs governed update flow.","","AS-IS","No",""
"VAR-029","protectionPlans.Full Coverage","Full Coverage/FVP AS-IS rate and fixed fee. Влияет на protection cost при выбранном full coverage.","rate 0.025; fixedFee 15","rate, USD","js/variables.js protectionPlans","FVP Protection Cost","Business owner to confirm","Ready","Legal/business approval needed before TO-BE change.","","AS-IS","No",""
"VAR-030","packagingRates","Packaging rates по типам упаковки на item. AS-IS отображается/tracked, но не всегда напрямую добавляется в additional charges.","None 0; Blanket Wrap 8; Bubble 18; TV Box 35; Custom Crate 95","USD/item","js/variables.js packagingRates","Packaging Cost Per Item","Business owner to confirm","Ready","AS-IS tracked/displayed; not direct additional charge.","","AS-IS","No",""
"VAR-TBE-001","roundingIncrement","Шаг округления final customer price. Нужен, чтобы клиент видел аккуратную цену без случайных cents.","","Variable","","Final customer price","CEO / Finance","Test Assumption","Изменение требует benchmark preview и новой версии.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-004","directFixedFee","Fixed component direct/specific-date fee. Добавляется, когда service нарушает consolidated route economics.","","Variable","","Direct / specific date","CEO / Operations","Test Assumption","$300 из транскриба считать примером до approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-005","directMileageFee","Mileage component direct/specific-date fee. Умножается на exact/recalculated miles для direct service.","","Variable","","Direct / specific date","CEO / Operations","Test Assumption","$2/mile из транскриба считать примером до approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-006","remoteZoneCoefficient","Remote zone coefficient или premium. Компенсирует высокую road cost для удаленных зон.","","Variable","","Remote/corridor zones","CEO / Operations","Test Assumption","1.5 из транскриба считать примером до data validation.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-007","bulkyVolumeThreshold","Bulky/moving threshold. Запускает premium или manual review для больших shipment, например 250+ cu ft.","","Variable","","Bulky/moving premium","CEO / Operations","Test Assumption","250+ cu ft обсуждалось как threshold.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-008","pickupTimeCoefficients","Набор коэффициентов pickup time model: base time, minutes per item/cu ft/lb, access/heavy impacts.","","Variable set","","Pickup labor","Operations","Test Assumption","Коэффициенты брать из фактических time metrics.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-009","deliveryTimeCoefficients","Набор коэффициентов delivery time model. Должен быть отдельным от pickup, потому что delivery обычно быстрее.","","Variable set","","Delivery labor","Operations","Test Assumption","Не копировать pickup coefficients без approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-010","crateMaterialPrice","Crate material price reference. Используется в формуле surface area x material price.","","Reference","","Custom crate","Operations / Purchasing","Test Assumption","Approved material/vendor price table.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-011","crateWasteCoefficient","Crate waste coefficient. Учитывает cuts, waste and operational loss при изготовлении crate.","","Variable","","Custom crate","Operations","Test Assumption","Подтвердить с мастерами.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-012","storageRate","Storage rate. Участвует в storage cost и должен сохранять совместимость со старыми snapshots.","","Variable","","Storage","Finance / Operations","Test Assumption","Изменения не должны пересчитывать old snapshots.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-013","fvpRate / fvpFixedFee","FVP rate and fixed fee. Считает protection по declared value, fixed fee применяется once per order.","","Variable","","FVP protection","CEO / Legal / Finance","Test Assumption","Fixed fee once per order, declared value rate.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-015","hourlyWageByRole","Ставка оплаты по роли/филиалу. Используется для crew base pay и fully loaded labor cost.","","Reference","","Crew payroll","Operations / Finance","Test Assumption","Хранить role, branch, hourly wage, effective date.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-016","overtimeMultiplier","Множитель overtime для расчета повышенной оплаты сверх threshold.","","Variable","","Crew overtime pay","Finance","Test Assumption","Определить threshold and multiplier.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-017","payrollBurdenRate","Процент payroll burden: taxes, insurance, benefits, admin load.","","Variable","","Fully loaded labor cost","CFO","Test Assumption","Ключевой CFO coefficient для маржинальности.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-018","brokerCommissionRate","Процент выплаты broker от утвержденной commission base.","","Variable","","Broker payout","CFO / Sales","Test Assumption","Может зависеть от broker/channel/order source.","VAR-MRG-003","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-019","dispatcherPayoutRate","Ставка выплаты dispatcher: per order, процент или гибрид.","","Variable","","Dispatcher payout","CFO / Operations","Test Assumption","Нужно определить payout model.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-020","minContributionMarginPct","Минимальная допустимая contribution margin после всех payouts/costs.","","Variable","","Margin guardrail / price floor","CEO / CFO","Test Assumption","Главный blocker для underpricing.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-021","overheadAllocationRate","Коэффициент распределения overhead на заказ для fully loaded cost.","","Variable","","Fully loaded cost","CFO","Test Assumption","Можно использовать только для audit, не обязательно для quote price.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-022","routeCapacityRate","Стоимость единицы зарезервированной capacity на route.","","Variable","","Capacity opportunity cost","Operations / CFO","Test Assumption","Нужна методика route capacity economics.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-023","bulkyPremiumMultiplier","Множитель premium для orders, которые занимают много route capacity.","","Variable","","Bulky capacity premium","CEO / Operations","Test Assumption","Защищает margin on moving/bulky orders.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-024","locationTypeTimeMultiplier","Коэффициент времени для типа точки. Например, apartment или auction могут требовать больше времени, warehouse может быть быстрее за счет dock/loading process.","","Variable / Reference field","","Pickup/delivery time model, labor cost","Operations / Finance","Test Assumption","Должен храниться в Location / Address Types reference и пересматриваться по historical time metrics.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-025","locationTypeFixedMinutes","Фиксированные минуты, которые добавляются к stage time из-за типа точки: check-in, parking, dock coordination, building access, auction release.","","Variable / Reference field","","Pickup/delivery time model","Operations","Test Assumption","Менять только через reference versioning и benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-026","locationTypeCrewImpact","Изменение рекомендуемой crew size из-за типа точки. Не заменяет manual crew override, а дает default planning signal.","","Variable / Reference field","","Crew split, labor cost, capacity planning","Operations","Test Assumption","Manual override должен сохраняться в snapshot.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-027","parkingLoadingComplexityMinutes","Минуты или коэффициент ожидания/сложности для парковки, loading dock, building access и похожих ограничений точки.","","Variable / Reference field","","Access effort, pickup/delivery time","Operations","Test Assumption","Нужны реальные historical time metrics по типам точки.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-028","warehouseEfficiencyFactor","Коэффициент ускорения обработки для warehouse/business точек, где есть организованная loading зона или dock.","","Variable / Reference field","","Pickup/delivery time, labor cost","Operations / Finance","Test Assumption","Не применять автоматически, если warehouse фактически без dock/access advantage.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TBE-029","auctionHandlingMinutes","Дополнительные минуты для auction точки: release process, waiting, paperwork, restricted loading windows.","","Variable / Reference field","","Pickup/delivery time, special handling","Operations","Test Assumption","Высокий риск underpricing без отдельного коэффициента.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-001","timeDataConfidenceScore","Оценка доверия к historical time metrics. Нужна, чтобы отличать реальные замеры от оценочных или неполных данных.","","Variable / Reference field","","Time model calibration, coefficient governance","Operations / Analytics","Test Assumption","Использовать только trusted или approved estimated data для пересчета коэффициентов.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-002","minimumTimeSampleSize","Минимальное количество исторических наблюдений перед тем, как менять коэффициент времени.","","Variable","","Time coefficient governance","Operations / Finance","Test Assumption","Без minimum sample size нельзя автоматически менять production pricing variables.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-003","timeEstimateBufferPct","Буфер времени для заказов с низкой уверенностью, сложным access или новым route/location pattern.","","Variable","","Pickup/delivery time model, margin guardrail","CEO / Operations","Test Assumption","Должен быть видимым в trace, чтобы не превращаться в скрытую наценку.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-001","onePersonMaxItemWeightLb","Максимальный вес одного предмета, при котором доставка/пикап потенциально может быть выполнена одним человеком, если нет других hard constraints.","","Variable","","One-person eligibility, crew split","CEO / Operations","Test Assumption","Предварительный business anchor из обсуждения: 70 lb; production value утверждается отдельно.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-002","twoPersonItemWeightThresholdLb","Вес одного предмета, после которого нужен минимум 2-person crew независимо от общего объема заказа.","","Variable","","Min crew by item, labor cost","Operations / Safety","Test Assumption","Должен быть safety/operations threshold, не только pricing threshold.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-003","awkwardItemLengthThresholdIn","Длина/габарит предмета, после которой предмет может требовать 2 человек даже при небольшом весе.","","Variable","","Handling complexity, min crew","Operations","Test Assumption","Нужна калибровка по item catalog и реальным кейсам.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-004","itemMinimumHandlingMinutes","Минимальное handling time на предмет или группу однотипных предметов, чтобы маленький объем не занизил трудозатраты.","","Variable / Reference field","","Pickup/delivery time, payroll cost","Operations / Finance","Test Assumption","Должно храниться по item class / handling class.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-005","largeLightItemVolumeThresholdCuFt","Порог большого объема, при котором проверяется исключение: заказ крупный по cu ft, но каждый предмет легкий и может быть доступен для one-person delivery.","","Variable","","Large light item exception, crew split","CEO / Operations","Test Assumption","Нельзя использовать один volume threshold без max single item weight.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-006","itemHandlingScoreThreshold","Порог item handling score, после которого заказ требует helper/2-person crew или risk reserve.","","Variable","","Crew planning, margin guardrail","Operations / Finance","Test Assumption","Score должен быть объяснимым в trace.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-007","heavyPieceWeightThresholdLb","Порог веса одной физической единицы, после которого piece считается heavy для helper/time logic.","","Variable","","Heavy piece count, helper active minutes","CEO / Operations / Safety","Test Assumption","Не смешивать с totalWeight; применяется к unitItemWeight.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-008","onePersonPieceLimit","Максимальное количество мест, которое можно считать допустимым для one-person service без review.","","Variable","","Large light item exception, one-person eligibility","Operations","Test Assumption","Защищает кейсы, где все предметы легкие, но мест слишком много для одного человека.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-009","minutesPerPieceByHandlingClass","Минимальные минуты обработки на одно место по handling class: light, standard, awkward, heavy, bulky-light.","","Reference field","","Piece handling time, stage time floor","Operations / Finance","Test Assumption","Калибровать по historical time metrics и field feedback.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-010","helperActiveMinutesPerHeavyPiece","Сколько минут helper нужен на каждый heavy piece до access adjustments.","","Variable / Reference field","","Helper active minutes, payroll cost","Operations","Test Assumption","Может зависеть от weight band, item class, packaging, access.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-011","partialHelperBillingPolicy","Политика оплаты helper: весь stage, minimum paid time, или только active helper minutes.","","Governance variable","","Labor hours, payroll, price floor","CEO / CFO / Operations","Test Assumption","Ключевой управленческий выбор, влияет на себестоимость и цену.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-012","hardAccessConstraintRule","Набор условий access, при которых один человек запрещен или требуется manual review.","","Rule set","","Hard access crew rule, manual review","Operations / Safety","Test Assumption","Например heavy item + stairs/no elevator/long carry/narrow access.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-013","accessHeavyImpactMinutes","Дополнительные минуты helper/time impact при сочетании heavy item и сложного access.","","Variable / Reference field","","Helper active minutes, stage time","Operations","Test Assumption","Хранить по access type и weight band.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-HND-014","physicalFeasibilityReviewThreshold","Порог габаритов/access mismatch, после которого заказ требует manual review: doorway/elevator/stair turn vs item/crate dimensions.","","Rule set","","Physical access feasibility, manual review","Operations","Test Assumption","Не обязательно price formula, но обязательно guardrail до quote approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-001","selectedVehicleCargoHeightIn","Внутренняя высота кузова выбранной в заявке машины. Значение берется из Vehicle Dimensions / Cargo Body Specs по selectedVehicle.cargoBodySpecId; например 72 in может быть высотой конкретного Sprinter body, а не универсальным threshold.","","Derived reference value","","Selected vehicle height check, dimensional fit, vehicle revision","Operations","Test Assumption","Не hardcode. Всегда читать из справочника выбранной машины и сохранять reference version в snapshot.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-002","sideTransportAllowed","Флаг, разрешено ли перевозить конкретный item на боку без неприемлемого риска повреждения.","","Item/reference field","","Side transport review, box truck recommendation","Operations / Broker with approval","Test Assumption","Должен сохраняться в estimate snapshot вместе с owner/reason.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-003","sideTransportApprovalRequired","Флаг, требует ли перевозка на боку отдельного approval перед quote/dispatch.","","Governance variable","","Manual review, snapshot warning","Operations","Test Assumption","Для fragile/crate/high-value items лучше default TRUE.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-004","cargoInteriorLengthIn","Внутренняя длина кузова/грузового отсека конкретного vehicle.","","Reference field","","Vehicle dimensional fit","Operations","Test Assumption","Хранить по vehicle type/name/version.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-005","cargoInteriorWidthIn","Внутренняя ширина кузова/грузового отсека конкретного vehicle.","","Reference field","","Vehicle dimensional fit","Operations","Test Assumption","Важно для bulky/wide items and side transport.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-006","cargoInteriorHeightIn","Внутренняя высота кузова/грузового отсека конкретного vehicle body. Например 72 in относится к конкретному Sprinter/Cargo body spec.","","Reference field","","Selected vehicle height check, higher body vehicle recommendation, dimensional fit","Operations","Test Assumption","Критично для tall/oversized items; хранить по vehicle/body spec, не как общий threshold.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-007","doorOpeningWidthIn","Ширина дверного проема vehicle, через который item фактически грузится.","","Reference field","","Door opening fit, physical feasibility","Operations","Test Assumption","Может отличаться от interior width.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-008","doorOpeningHeightIn","Высота дверного проема vehicle, через который item фактически грузится.","","Reference field","","Door opening fit, tall item review","Operations","Test Assumption","Может отличаться от interior height.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-VEH-009","vehicleEquipmentFlags","Набор equipment flags: ramp, liftGate, tieDown, dolly, blanket, straps.","","Reference field","","Vehicle equipment requirement","Operations","Test Assumption","Использовать при vehicle eligibility and dispatch planning.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-001","selectedVehicleCargoVolumeCuFt","Полезный объем выбранного кузова. Берется из справочника vehicle body specs, а не вводится вручную.","","Derived reference value","","Vehicle utilization, capacity overflow","Operations","Test Assumption","Изменяется только через versioned vehicle reference.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-002","selectedVehiclePayloadLb","Максимальный допустимый payload выбранной машины.","","Derived reference value","","Payload utilization, density","Operations","Test Assumption","Должен соответствовать фактическому парку/договору.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-003","fullRouteCapacityCost","Полная стоимость capacity на interstate route/truck до распределения на заказ.","","Variable / Reference field","","Interstate capacity cost","CEO / Finance","Test Assumption","Изменение требует benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-004","interstateCostPerCuFt","Ставка guardrail для расчета interstate по объему.","","Variable","","Legacy dual cost guardrail","CEO / Finance","Test Assumption","Не менять без сравнения benchmark cases.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-005","interstateCostPerLb","Ставка guardrail для расчета interstate по весу.","","Variable","","Legacy dual cost guardrail","CEO / Finance","Test Assumption","Не менять без сравнения benchmark cases.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-CAP-006","capacityPricingMethod","Переключатель метода: limiting factor, dual max или hybrid guardrail.","","Governance variable","","Interstate pricing","CEO / Product","Test Assumption","Меняется только через formula version.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-006","loadingCurveVolumeThresholdCuFt","Порог объема в piecewise loading formula; число 80 должно быть управляемой переменной.","","Variable","","Pickup loading minutes","Operations","Test Assumption","Источник: historical time calibration.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-007","loadingCurveNumerator","Коэффициент 205.57 в первой части loading curve.","","Variable","","Pickup loading minutes","Operations","Test Assumption","Источник: historical calibration; менять с benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-008","loadingCurveDenominatorOffset","Коэффициент 144.87 в первой части loading curve.","","Variable","","Pickup loading minutes","Operations","Test Assumption","Источник: historical calibration; менять с benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-009","loadingCurveBaseMinutes","Коэффициент 73.13 во второй части loading curve.","","Variable","","Pickup loading minutes","Operations","Test Assumption","Источник: historical calibration; менять с benchmark preview.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-010","loadingPostThresholdMinutesPerCuFt","Коэффициент 0.5 минуты за каждый cubic foot сверх порога.","","Variable","","Pickup loading minutes","Operations","Test Assumption","Источник: historical calibration; должен быть явно виден.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-TIME-011","unloadingTimeCoefficient","Коэффициент, показывающий, насколько delivery/unloading быстрее или медленнее pickup/loading.","","Variable","","Delivery unloading minutes","Operations","Test Assumption","Не использовать скрытое minLoadingMinutes - 10.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-ACC-001","freeFloorCount","Количество бесплатных этажей до начала stairs fee.","","Variable","","Billable floors, stairs fee","CEO / Operations","Test Assumption","Должно быть одинаково применено к pickup/delivery или разделено по stage.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-ACC-002","stairsFeePerBillableFloor","Ставка за каждый платный этаж.","","Variable","","Stairs fee","CEO / Operations","Test Assumption","Изменение требует preview по apartment cases.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-ACC-003","extraLaborMinimumHours","Минимальное оплачиваемое время extra labor/helper.","","Variable","","Extra labor cost, helper paid minutes","Operations / Finance","Test Assumption","В транскрибе обсуждалось 2 часа.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-ACC-004","extraLaborHourlyRate","Ставка extra labor за человека в час.","","Variable","","Extra labor cost","Operations / Finance","Test Assumption","Может отличаться по market/role.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
"VAR-WARN-001","blockingWarningFlag","Флаг, что warning блокирует сохранение estimate до approval.","","Rule set","","Quote can save","Product / Ops","Test Assumption","Каждое blocking rule должно иметь owner и роль approval.","","TO-BE","No","Use documented example value when present; otherwise use 0 in test fixtures only."
