"Formula ID","Block","Name","Formula","Description","Level / Stage","Input / Source","Variable IDs","Reference IDs","Output / Next","Used In","Source Scope","Implementation Status","Data Readiness","Related Formula IDs","Test Assumption","Normalization Notes"
"ITM-005","Item Calculations","Effective Volume","CEILING(Physical Volume x Effective Volume Multiplier)","Effective volume показывает, сколько operational space занимает item с учетом handling complexity. Берется physical volume и flags multiplier. Результат идет в total effective volume, vehicle fit и volume-based stage model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, volume model, operational cost","AS-IS","Implemented / Baseline","Ready","TBE-ITM-002","",""
"ITM-006","Item Calculations","Total Effective Volume","SUM(All Item Effective Volumes)","Общий effective volume заказа равен сумме effective volume всех billable items. Результат идет в vehicle fit, pickup/interstate/delivery volume model и bulky/direct review recommendation.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, stage calculations","AS-IS","Implemented / Baseline","Ready","","",""
"ITM-007","Item Calculations","Item Total Weight","Item Weight x Quantity","Вес item line считается как вес одного предмета, умноженный на количество. Вес берется из Quote Draft item row или catalog default. Результат идет в total shipment weight, warning/crew logic, vehicle fit и weight model.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Total weight, crew logic, weight model","AS-IS","Implemented / Baseline","Ready","","",""
"ITM-008","Item Calculations","Total Shipment Weight","SUM(All Item Total Weights)","Общий вес заказа равен сумме total weight всех billable items. Результат идет в vehicle fit и weight-based stage model.","Order","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Vehicle fit, weight model","AS-IS","Implemented / Baseline","Ready","","",""
"ITM-009","Item Calculations","Missing Weight Warning","IF(Physical Volume > 0 AND Total Weight = 0, 'Fill up the weight')","Если у item есть объем, но вес не заполнен, калькулятор показывает warning. Это не добавляет цену напрямую, но сигнализирует риск неверной себестоимости.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, broker review","AS-IS","Implemented / Baseline","Ready","","",""
"ITM-010","Item Calculations","Heavy Item Warning","IF(Item Weight >= 200, 'Extremely heavy')","Если вес одного item >= 200 lb, система помечает item как extremely heavy. Результат идет в warnings и crewNeed = 2.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003","Billable items, physical volume, effective volume, total weight, warning, crew need","Warnings, crew logic","AS-IS","Implemented / Baseline","Ready","WARN-001-HEAVY-ITEM","",""
"ITM-011","Item Calculations","Two-Person Weight Warning","IF(Item Weight >= 100, 'Heavy. 2 people needed')","Если вес item >= 100 lb, система считает, что требуется 2 человека. Результат идет в crewNeed и затем в pickup/delivery labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003; REF-TBE-005","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew logic, pickup/delivery labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"ITM-012","Item Calculations","Bulky Dimension Warning","IF((Length + Width + Height) / 12 >= 11, 'Bulky. 2 people needed')","Если сумма габаритов item в feet >= 11, система считает item bulky и требует 2 человека. Результат идет в crewNeed и labor.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003; REF-TBE-005","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew logic, pickup/delivery labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"ITM-013","Item Calculations","Item Crew Need","IF(Warning contains heavy or 2 people, 2, else 1)","Crew need определяется из warning logic. Если item тяжелый или bulky, item crew need = 2, иначе 1. Результат идет в required crew, pickup team и delivery team.","Item","Quote Draft item row, Quick Quote catalog transfer, Item Catalog defaults","","REF-001; REF-002; REF-003; REF-TBE-005","Billable items, physical volume, effective volume, total weight, warning, crew need","Crew, labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"VEH-001","Vehicle Fit","Vehicle Fit","First Active Vehicle where Total Effective Volume <= Vehicle Volume AND Total Weight <= Vehicle Payload","Калькулятор выбирает первый active vehicle из References Vehicles, который вмещает заказ по volume и payload. Результат идет в pickup/delivery vehicle cost и vehicle display.","Order","Total effective volume, total weight, References Vehicles","","REF-TBE-004","Selected vehicle and interstate vehicle used by stage costs","Vehicle, pickup/delivery mileage","AS-IS","Implemented / Baseline","Ready","TBE-VEH-001","",""
"VEH-002","Vehicle Fit","Interstate Vehicle","Vehicle by settings.interstateVehicleName, fallback selected vehicle","Для interstate stage используется vehicle из settings.interstateVehicleName. Сейчас baseline = Penske 26 ft. Если vehicle не найден, используется vehicle fit result. Результат идет в interstate fuel, maintenance и driver formulas.","Interstate","Total effective volume, total weight, References Vehicles","VAR-027","REF-TBE-004","Selected vehicle and interstate vehicle used by stage costs","Interstate cost","AS-IS","Implemented / Baseline","Ready","","",""
"PKG-001","Packaging","Packaging Cost Per Item","Packaging Rate x Quantity","Packaging rate берется из packagingRates по выбранному item packaging. Результат идет в item.packagingCost и totals.packaging. Важно: AS-IS per-item packaging не добавляется напрямую в additionalCharges.","Item","Item packaging dropdown, Item Catalog default, packagingRates","VAR-030","REF-003; REF-009","Item packaging cost and packaging display total","Packaging display, cost breakdown","AS-IS","Implemented / Baseline","Ready","","",""
"PKG-002","Packaging","Packaging Total Display","SUM(Item Packaging Costs) + Packaging Per Shipment","Totals.packaging показывает сумму item packaging plus packagingPerShipment, если есть billable items. Это internal/display metric. В final price AS-IS влияет только packagingPerShipment внутри pickup handling.","Order","Item packaging dropdown, Item Catalog default, packagingRates","VAR-007; VAR-030","REF-003; REF-009","Item packaging cost and packaging display total","Breakdown packaging display","AS-IS","Implemented / Baseline","Ready","","",""
"PROT-001","Protection Plan","Protection Legacy Type","IF Protection Plan = FVP then Full Coverage else Basic Liability","Broker-facing protectionPlan приводится к legacy insurance type для текущего калькулятора. RV и DV считаются как Basic Liability, FVP как Full Coverage. Результат идет в protectionPlans lookup.","Item","Item protectionPlan field, declaredValue input, protectionPlans","","REF-TBE-008","Insurance/protection cost and customer-facing protection status","Protection cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"PROT-002","Protection Plan","RV Protection Cost","0","RV / Released Value использует Basic Liability с rate 0 и fixed fee 0. Результат идет в insuranceCost = 0 и не увеличивает final price.","Item","Item protectionPlan field, declaredValue input, protectionPlans","","REF-TBE-008","Insurance/protection cost and customer-facing protection status","Protection, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PROT-003","Protection Plan","FVP Protection Cost","Declared Value x 0.025 + 15","Если выбран FVP / Full Coverage, калькулятор берет declaredValue из item row, умножает на 2.5% и добавляет fixed fee $15. Результат идет в item.insuranceCost, totals.insurance и serviceCost.","Item","Item protectionPlan field, declaredValue input, protectionPlans","","REF-TBE-008","Insurance/protection cost and customer-facing protection status","Protection, service cost, final total","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PROT-004","Protection Plan","DV Price Impact","0 AS-IS because DV maps to Basic Liability pricing","DV сейчас является capture/confirmation behavior и в pricing считается как Basic Liability. Результат не увеличивает final price; wording идет в Estimate Document как confirmation required.","Item","Item protectionPlan field, declaredValue input, protectionPlans","","REF-TBE-008","Insurance/protection cost and customer-facing protection status","Protection wording","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"STO-001","Storage","Storage Cost","Effective Volume x Storage Days x Storage Per Cu Ft Per Day","Storage считается по каждому item: effective volume умножается на storage days и storage rate из settings. Результат идет в totals.storage и additionalCharges.","Item","Item storageDays input, effective volume, storage rate variable","VAR-006; VAR-TBE-012","","Storage cost included in additional charges","Storage, additional charges","AS-IS","Implemented / Baseline","Test Assumption","TBE-FEE-003","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"FUEL-001","Fuel","Internal Fuel Price","Fuel Current Avg x (1 + Fuel Surcharge % / 100)","Fuel price берется из Fuel Prices reference/runtime storage. Калькулятор добавляет surcharge percent. Результат идет в fuel cost per mile.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","","REF-007; REF-008; REF-TBE-004","Fuel cost per mile and per unit mile","Fuel cost per mile","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"FUEL-002","Fuel","Fuel Cost Per Mile","Internal Fuel Price / (Vehicle Calculation MPG or Vehicle MPG)","Fuel cost per mile считается из internal fuel price и vehicle MPG. MPG берется из References Vehicles. Если internal fuel или MPG недоступны, используется vehicle.fuelPerMile fallback.","Vehicle/Fuel","Fuel Prices reference/runtime variables and Vehicles reference MPG","","REF-007; REF-008; REF-TBE-004","Fuel cost per mile and per unit mile","Pickup, delivery, interstate fuel","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"FUEL-003","Fuel","Fuel Cost Per Unit Mile","Fuel Cost Per Mile / Vehicle Denominator","Для interstate allocation fuel cost per mile делится на vehicle volume, если модель volume, или на vehicle payload, если модель weight. Результат идет в interstate fuel component.","Interstate","Fuel Prices reference/runtime variables and Vehicles reference MPG","","REF-007; REF-008; REF-TBE-004","Fuel cost per mile and per unit mile","Interstate fuel","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PICK-001","Pickup Stage","Pickup Loading Minutes - Volume","IF Volume < 80 then 205.57 x Volume / (144.87 + Volume), else 73.13 + 0.5 x (Volume - 80)","Pickup loading time по volume model берется из total effective volume и loading coefficients из settings. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PICK-002","Pickup Stage","Pickup Loading Minutes - Weight","Total Weight x 0.2","Pickup loading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в pickup labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"DEL-001","Delivery Stage","Delivery Unloading Minutes - Volume","Total Effective Volume x 0.5","Delivery unloading time по volume model берется из total effective volume и unloadingPerCuFtMinute. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","VAR-012","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-002","Delivery Stage","Delivery Unloading Minutes - Weight","Total Weight x 0.2","Delivery unloading time по weight model берется из total shipment weight и per-lb minute coefficient. Результат идет в delivery labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery labor","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PICK-003","Pickup Stage","Pickup Labor Cost","MAX(Pickup Load Minutes, 40) x Wage Per Minute x Pickup Team + Pickup Wage Per Mile x Pickup Distance x Pickup Team","Pickup labor берет load minutes, minimum loading minutes, wagePerMinute, pickupDistance и pickupTeam. Результат идет в pickupCost и stageBreakdown.pickup.labor.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","VAR-015; VAR-016","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-003","Delivery Stage","Delivery Labor Cost","MAX(Delivery Unload Minutes, 30) x Wage Per Minute x Delivery Team + Pickup Wage Per Mile x Delivery Distance x Delivery Team","Delivery labor берет unload minutes, minimum delivery minutes = minLoadingMinutes - 10, wagePerMinute, deliveryDistance и deliveryTeam. Результат идет в deliveryCost и stageBreakdown.delivery.labor.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","VAR-014; VAR-015; VAR-016","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"PICK-004","Pickup Stage","Pickup Mileage Cost","Pickup Distance x Vehicle Maintenance Per Mile + Pickup Distance x Fuel Cost Per Mile","Pickup mileage cost берет pickupDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-004","Delivery Stage","Delivery Mileage Cost","Delivery Distance x Vehicle Maintenance Per Mile + Delivery Distance x Fuel Cost Per Mile","Delivery mileage cost берет deliveryDistance, selected local vehicle maintenancePerMile и fuelCostPerMile. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"PICK-005","Pickup Stage","Pickup Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate + Packaging Per Shipment","Pickup handling зависит от selected model amount: effective volume или total weight. Rates берутся из settings. Результат идет в pickupCost. PackagingPerShipment включается здесь.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","VAR-007","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-005","Delivery Stage","Delivery Handling Cost","Amount x Warehouse Handling Rate + Amount x Truck Loading Rate / 2","Delivery handling зависит от selected model amount. Truck loading rate делится на 2. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Variable mapping"
"PICK-006","Pickup Stage","Pickup Management / Dispatch","Management Fee + Dispatch Fee","К pickup stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в pickupCost.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","VAR-TBE-014; VAR-019","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Pickup subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-006","Delivery Stage","Delivery Management / Dispatch","Management Fee + Dispatch Fee","К delivery stage добавляются fixed managementFee и dispatchFee из settings. Результат идет в deliveryCost.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","VAR-TBE-014; VAR-019","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Delivery subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"PICK-007","Pickup Stage","Pickup Cost","Pickup Mileage + Pickup Labor + Pickup Handling + Management Fee + Dispatch Fee","Pickup subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.pickup.total.","Pickup","Pickup distance, selected vehicle, selected model amount, pickup team, settings","VAR-TBE-014; VAR-019","REF-TBE-005","Pickup labor, mileage, handling, management/dispatch, pickup subtotal","Route cost, service cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"DEL-007","Delivery Stage","Delivery Cost","Delivery Mileage + Delivery Labor + Delivery Handling + Management Fee + Dispatch Fee","Delivery subtotal складывает mileage, labor, handling и fixed admin fees. Результат идет в routeCost и stageBreakdown.delivery.total.","Delivery","Delivery distance, selected vehicle, selected model amount, delivery team, settings","VAR-TBE-014; VAR-019","REF-TBE-005","Delivery labor, mileage, handling, management/dispatch, delivery subtotal","Route cost, service cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"INT-001","Interstate Stage","Interstate Maintenance","Amount x Interstate Distance x Vehicle Maintenance Per Unit Mile","Interstate vehicle cost берет selected model amount, interstate distance и maintenance per unit mile у interstate vehicle. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","","","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"INT-002","Interstate Stage","Interstate Fuel","Amount x Interstate Distance x Fuel Cost Per Unit Mile","Interstate fuel берет selected model amount, interstate distance и fuel cost per unit mile. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","","","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"INT-003","Interstate Stage","Interstate Driver","Interstate Driver Cost Per Mile / Vehicle Denominator x Interstate Distance x Amount x Interstate Team","Driver cost распределяется по vehicle denominator, distance и selected amount. Interstate team сейчас = 1. Результат идет в interstateCost.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","VAR-017","","Interstate fuel, maintenance, driver, interstate subtotal","Interstate subtotal, route cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"INT-004","Interstate Stage","Interstate Cost","Interstate Maintenance + Interstate Fuel + Interstate Driver","Interstate subtotal складывает vehicle cost, fuel и driver. Результат идет в routeCost и stageBreakdown.interstate.total.","Interstate","Interstate distance, interstate vehicle, selected model amount, fuel/vehicle settings","","","Interstate fuel, maintenance, driver, interstate subtotal","Route cost, service cost","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.","Review mapping: Reference mapping"
"FINAL-001","Final Total","Damage Surcharge","Amount x Repair Cost Per Unit","Damage surcharge зависит от selected model: repairCostPerCuFt для volume или repairCostPerLb для weight. Результат идет в serviceCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001; VAR-002; VAR-003","","Raw price, margin display, final customer price, item allocation","Service cost, final total","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-002","Final Total","Service Cost","Pickup Cost + Delivery Cost + Interstate Cost + Damage Surcharge + Insurance Cost","Service cost складывает три stage costs, damage surcharge и protection/insurance cost. Результат идет в priceExcludingBrokerFee и operationalCost.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Operational cost, margin, final total","AS-IS","Implemented / Baseline","Ready","","",""
"FINAL-003","Final Total","Stage Margin","(Pickup Cost + Delivery Cost + Interstate Cost) x Margin Rate","Margin считается от route stage costs, без storage/access/adjustments. MarginRate берется из settings. Результат идет в priceExcludingBrokerFee.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001; VAR-TBE-002","","Raw price, margin display, final customer price, item allocation","Price excluding broker fee","AS-IS","Implemented / Baseline","Test Assumption","","Use normalized registry example values and current local reference seeds for tests; replace with governed production values before release.",""
"FINAL-004","Final Total","Price Excluding Broker Fee","Service Cost + Stage Margin","Цена до broker fee складывает service cost и stage margin. Результат идет в brokeredPrice.","Order","Selected stage costs, service cost, additional charges, broker fee, rounding","VAR-001","","Raw price, margin display, final customer price, item allocation","Brokered price","AS-IS","Implemented / Baseline","Ready","","",""
