"Type","Canonical ID","Name","Operational Screen","Section","Active Key / Fields","Data Readiness"
"Variable","VAR-TBE-016","overtimeMultiplier","Variables","Labor and Time","overtimeMultiplier","Test Assumption"
"Variable","VAR-TBE-017","payrollBurdenRate","Variables","Labor and Time","payrollBurdenRate","Test Assumption"
"Variable","VAR-TBE-018","brokerCommissionRate","Variables","Pricing and Margin","brokerCommissionRate","Test Assumption"
"Variable","VAR-TBE-019","dispatcherPayoutRate","Variables","Pricing and Margin","dispatcherPayoutRate","Test Assumption"
"Variable","VAR-TBE-020","minContributionMarginPct","Variables","Pricing and Margin","minContributionMarginPct","Test Assumption"
"Variable","VAR-TBE-021","overheadAllocationRate","Variables","Access and Service","overheadAllocationRate","Test Assumption"
"Variable","VAR-TBE-022","routeCapacityRate","Variables","Capacity and Vehicle Economics","routeCapacityRate","Test Assumption"
"Variable","VAR-TBE-023","bulkyPremiumMultiplier","Variables","Pricing and Margin","bulkyPremiumMultiplier","Test Assumption"
"Variable","VAR-TBE-024","locationTypeTimeMultiplier","Variables","Access and Service","locationTypeTimeMultiplier","Test Assumption"
"Variable","VAR-TBE-025","locationTypeFixedMinutes","Variables","Access and Service","locationTypeFixedMinutes","Test Assumption"
"Variable","VAR-TBE-026","locationTypeCrewImpact","Variables","Access and Service","locationTypeCrewImpact","Test Assumption"
"Variable","VAR-TBE-027","parkingLoadingComplexityMinutes","Variables","Access and Service","parkingLoadingComplexityMinutes","Test Assumption"
"Variable","VAR-TBE-028","warehouseEfficiencyFactor","Variables","Pricing and Margin","warehouseEfficiencyFactor","Test Assumption"
"Variable","VAR-TBE-029","auctionHandlingMinutes","Variables","Item Handling","auctionHandlingMinutes","Test Assumption"
"Variable","VAR-TIME-001","timeDataConfidenceScore","Variables","Labor and Time","timeDataConfidenceScore","Test Assumption"
"Variable","VAR-TIME-002","minimumTimeSampleSize","Variables","Labor and Time","minimumTimeSampleSize","Test Assumption"
"Variable","VAR-TIME-003","timeEstimateBufferPct","Variables","Labor and Time","timeEstimateBufferPct","Test Assumption"
"Variable","VAR-HND-001","onePersonMaxItemWeightLb","Variables","Item Handling","onePersonMaxItemWeightLb","Test Assumption"
"Variable","VAR-HND-002","twoPersonItemWeightThresholdLb","Variables","Item Handling","twoPersonItemWeightThresholdLb","Test Assumption"
"Variable","VAR-HND-003","awkwardItemLengthThresholdIn","Variables","Item Handling","awkwardItemLengthThresholdIn","Test Assumption"
"Variable","VAR-HND-004","itemMinimumHandlingMinutes","Variables","Item Handling","itemMinimumHandlingMinutes","Test Assumption"
"Variable","VAR-HND-005","largeLightItemVolumeThresholdCuFt","Variables","Item Handling","largeLightItemVolumeThresholdCuFt","Test Assumption"
"Variable","VAR-HND-006","itemHandlingScoreThreshold","Variables","Item Handling","itemHandlingScoreThreshold","Test Assumption"
"Variable","VAR-HND-007","heavyPieceWeightThresholdLb","Variables","Item Handling","heavyPieceWeightThresholdLb","Test Assumption"
"Variable","VAR-HND-008","onePersonPieceLimit","Variables","Item Handling","onePersonPieceLimit","Test Assumption"
"Variable","VAR-HND-009","minutesPerPieceByHandlingClass","Variables","Item Handling","minutesPerPieceByHandlingClass","Test Assumption"
"Variable","VAR-HND-010","helperActiveMinutesPerHeavyPiece","Variables","Item Handling","helperActiveMinutesPerHeavyPiece","Test Assumption"
"Variable","VAR-HND-011","partialHelperBillingPolicy","Variables","Item Handling","partialHelperBillingPolicy","Test Assumption"
"Variable","VAR-HND-012","hardAccessConstraintRule","Variables","Access and Service","hardAccessConstraintRule","Test Assumption"
"Variable","VAR-HND-013","accessHeavyImpactMinutes","Variables","Access and Service","accessHeavyImpactMinutes","Test Assumption"
"Variable","VAR-HND-014","physicalFeasibilityReviewThreshold","Variables","Pricing and Margin","physicalFeasibilityReviewThreshold","Test Assumption"
"Variable","VAR-VEH-001","selectedVehicleCargoHeightIn","Variables","Capacity and Vehicle Economics","selectedVehicleCargoHeightIn","Test Assumption"
"Variable","VAR-VEH-002","sideTransportAllowed","Variables","Pricing and Margin","sideTransportAllowed","Test Assumption"
"Variable","VAR-VEH-003","sideTransportApprovalRequired","Variables","Warnings and Approval","sideTransportApprovalRequired","Test Assumption"
"Variable","VAR-VEH-004","cargoInteriorLengthIn","Variables","Capacity and Vehicle Economics","cargoInteriorLengthIn","Test Assumption"
"Variable","VAR-VEH-005","cargoInteriorWidthIn","Variables","Capacity and Vehicle Economics","cargoInteriorWidthIn","Test Assumption"
"Variable","VAR-VEH-006","cargoInteriorHeightIn","Variables","Capacity and Vehicle Economics","cargoInteriorHeightIn","Test Assumption"
"Variable","VAR-VEH-007","doorOpeningWidthIn","Variables","Pricing and Margin","doorOpeningWidthIn","Test Assumption"
"Variable","VAR-VEH-008","doorOpeningHeightIn","Variables","Pricing and Margin","doorOpeningHeightIn","Test Assumption"
"Variable","VAR-VEH-009","vehicleEquipmentFlags","Variables","Capacity and Vehicle Economics","vehicleEquipmentFlags","Test Assumption"
"Variable","VAR-CAP-001","selectedVehicleCargoVolumeCuFt","Variables","Capacity and Vehicle Economics","selectedVehicleCargoVolumeCuFt","Test Assumption"
"Variable","VAR-CAP-002","selectedVehiclePayloadLb","Variables","Capacity and Vehicle Economics","selectedVehiclePayloadLb","Test Assumption"
"Variable","VAR-CAP-003","fullRouteCapacityCost","Variables","Capacity and Vehicle Economics","fullRouteCapacityCost","Test Assumption"
"Variable","VAR-CAP-004","interstateCostPerCuFt","Variables","Capacity and Vehicle Economics","interstateCostPerCuFt","Test Assumption"
"Variable","VAR-CAP-005","interstateCostPerLb","Variables","Capacity and Vehicle Economics","interstateCostPerLb","Test Assumption"
"Variable","VAR-CAP-006","capacityPricingMethod","Variables","Capacity and Vehicle Economics","capacityPricingMethod","Test Assumption"
"Variable","VAR-TIME-006","loadingCurveVolumeThresholdCuFt","Variables","Labor and Time","loadingCurveVolumeThresholdCuFt","Test Assumption"
"Variable","VAR-TIME-007","loadingCurveNumerator","Variables","Labor and Time","loadingCurveNumerator","Test Assumption"
"Variable","VAR-TIME-008","loadingCurveDenominatorOffset","Variables","Labor and Time","loadingCurveDenominatorOffset","Test Assumption"
"Variable","VAR-TIME-009","loadingCurveBaseMinutes","Variables","Labor and Time","loadingCurveBaseMinutes","Test Assumption"
"Variable","VAR-TIME-010","pickupPostThresholdRate","Variables","Labor and Time","loadingPostThresholdMinutesPerCuFt","Test Assumption"
"Variable","VAR-TIME-011","unloadingTimeCoefficient","Variables","Labor and Time","unloadingTimeCoefficient","Test Assumption"
"Variable","VAR-ACC-001","freeFloorCount","Variables","Access and Service","freeFloorCount","Test Assumption"
"Variable","VAR-ACC-002","stairsFeePerBillableFloor","Variables","Access and Service","stairsFeePerBillableFloor","Test Assumption"
"Variable","VAR-ACC-003","extraLaborMinimumHours","Variables","Labor and Time","extraLaborMinimumHours","Test Assumption"
"Variable","VAR-ACC-004","extraLaborHourlyRate","Variables","Labor and Time","extraLaborHourlyRate","Test Assumption"
"Variable","VAR-WARN-001","blockingWarningFlag","Variables","Warnings and Approval","blockingWarningFlag","Test Assumption"
"Variable","VAR-MRG-001","minimumContributionMarginRate","Variables","Pricing and Margin","minimumContributionMarginRate","Test Assumption"
"Variable","VAR-MRG-002","discountApplicationOrder","Variables","Pricing and Margin","discountApplicationOrder","Test Assumption"
"Variable","VAR-MRG-004","dispatcherPayoutRule","Variables","Pricing and Margin","dispatcherPayoutRule","Test Assumption"
"Variable","VAR-RTE-001","zoneMultiplier","Variables","Pricing and Margin","zoneMultiplier","Test Assumption"
"Variable","VAR-LAB-001","minutesPerCuFt","Variables","Labor and Time","minutesPerCuFt","Test Assumption"
"Variable","VAR-LAB-002","minutesPerLb","Variables","Labor and Time","minutesPerLb","Test Assumption"
"Variable","VAR-LAB-003","pickupTimeMultiplier","Variables","Labor and Time","pickupTimeMultiplier","Test Assumption"
"Variable","VAR-LAB-004","deliveryTimeMultiplier","Variables","Labor and Time","deliveryTimeMultiplier","Test Assumption"
"Variable","VAR-LAB-005","minimumHandlingMinutes","Variables","Item Handling","minimumHandlingMinutes","Test Assumption"
"Variable","VAR-FIT-001","maxItemLength","Variables","Item Handling","maxItemLength","Test Assumption"
"Variable","VAR-FIT-002","maxItemWidth","Variables","Item Handling","maxItemWidth","Test Assumption"
"Variable","VAR-FIT-003","maxItemHeight","Variables","Item Handling","maxItemHeight","Test Assumption"
"Variable","VAR-FIT-004","vehicleInteriorLength","Variables","Capacity and Vehicle Economics","vehicleInteriorLength","Test Assumption"
"Variable","VAR-FIT-005","vehicleInteriorWidth","Variables","Capacity and Vehicle Economics","vehicleInteriorWidth","Test Assumption"
"Variable","VAR-FIT-006","vehicleInteriorHeight","Variables","Capacity and Vehicle Economics","vehicleInteriorHeight","Test Assumption"
"Variable","VAR-WARN-002","warningSeverity","Variables","Warnings and Approval","warningSeverity","Test Assumption"
"Variable","VAR-WARN-003","managerApprovalRequired","Variables","Warnings and Approval","managerApprovalRequired","Test Assumption"
"Reference","REF-001","Quote Draft item row","References","Items and Handling","Item name, dimensions, weight, qty, packaging, protection, declared value, storage, flags","Ready"
"Reference","REF-002","Quick Quote catalog transfer","References","Items and Handling","Catalog dimensions, weight, packaging defaults transferred to Full Quote","Ready"
"Reference","REF-003","Item Catalog","References","Items and Handling","Default item templates","Ready"
"Reference","REF-TBE-001","ZIP Dictionary","References","Route and Coverage","ZIP, serviceAreaId, branchId, zoneClass, activeFlag","Test Assumption"
"Reference","REF-005","Zone normalization","References","Route and Coverage","Raw zone -> canonical zone","Ready"
"Reference","REF-006","Distance Matrix","References","Route and Coverage","Canonical zone pair distances and same-zone local distances","Ready"
"Reference","REF-007","Vehicles Reference","References","Vehicles","Capacity, payload, fuel type, MPG, calculation MPG, maintenance","Ready"
"Reference","REF-008","Fuel Prices Reference","References","Quality and Control","Fuel type, currentAvg, fuelSurchargePct","Ready"
"Reference","REF-009","Packaging Rates","References","Services","Packaging type -> rate","Ready"
"Reference","REF-TBE-008","Protection Plans","References","Services","planCode, rate, fixedFee, included, requiresConfirmation","Test Assumption"
"Reference","REF-011","Access Conditions","References","Quality and Control","COI, stairs, floor, narrow, elevator unavailable, long carry, crew","Ready"
"Reference","REF-012","Quote Options","References","Quality and Control","Priority, exclusive delivery, special labor, manual adjustment, direct flags","Ready"
"Reference","REF-013","Estimate Snapshot","References","Quality and Control","formulaVersion, variablesSnapshot, quote, result","Ready"
"Reference","REF-TBE-002","Service Areas","References","Route and Coverage","serviceAreaId, warehousePoint, densityClass, corridorFlag","Test Assumption"
"Reference","REF-TBE-003","Distance Matrix / Route Engine","References","Route and Coverage","origin, destination, miles, method, version","Test Assumption"
"Reference","REF-TBE-004","Vehicles","References","Vehicles","vehicleType, vehicleName, capacityVolume, capacityWeight, MPG, costPerMile, cargoBodySpecId, activeFlag","Ready"
"Reference","REF-TBE-005","Labor","References","People and Operations","role, stage, wage, minTime, coefficient","Test Assumption"
"Reference","REF-TBE-006","Items Catalog","References","Items and Handling","itemType, dimensions, weight, fragile, nonStackDefault","Test Assumption"
"Reference","REF-TBE-007","Packaging / Crate Materials","References","Services","materialType, unitCost, wasteCoeff, vendor","Test Assumption"
"Reference","REF-TBE-009","Storage Rates","References","Services","rate, unit, effectiveDate","Ready"
"Reference","REF-TBE-010","Benchmark Cases","References","Quality and Control","caseId, inputs, expectedSubtotal, expectedTotal","Ready"
"Reference","REF-TBE-011","Payroll Roles / Wage Rates","References","People and Operations","role, branch, hourlyWage, overtimePolicy, effectiveDate","Test Assumption"
"Reference","REF-TBE-012","Broker Compensation Plans","References","People and Operations","brokerId, channel, commissionRate, cap, floor, eligibilityEvent","Test Assumption"
"Reference","REF-TBE-013","Dispatcher Compensation Plans","References","People and Operations","dispatcherId, payoutType, rate, bonusRule, penaltyRule","Test Assumption"
"Reference","REF-TBE-014","Overhead Allocation Rules","References","People and Operations","overheadType, allocationMethod, rate, effectiveDate","Ready"
"Reference","REF-TBE-015","Capacity Economics","References","Quality and Control","routeType, capacityUnitRate, utilizationThreshold, premiumMultiplier","Test Assumption"
"Reference","REF-TBE-016","Location / Address Types","References","Quality and Control","addressType, stage, baseTimeMultiplier, fixedLocationMinutes, accessComplexityMultiplier, crewImpact, loadingDockDefault, parkingComplexity, coiDefault, activeFlag","Test Assumption"
"Reference","REF-TIME-001","Historical Time Metrics","References","Quality and Control","orderId, stage, addressType, volume, weight, itemCount, crew, actualMinutes, dataQuality","Test Assumption"
"Reference","REF-TIME-002","Access Time Reference","References","Quality and Control","accessType, stage, fixedMinutes, multiplier, confidence","Test Assumption"
"Reference","REF-TIME-003","Packaging Time Reference","References","Services","packagingType, minutesPerItem, minimumMinutes, complexityClass","Test Assumption"
"Reference","REF-TIME-004","Crate Labor Reference","References","Services","crateType, surfaceAreaBand, minutesPerSqFt, minimumMinutes","Test Assumption"
"Reference","REF-TIME-005","Time Data Quality Rules","References","Quality and Control","dataQualityStatus, minimumSampleSize, confidenceScore, exclusionReason","Ready"
"Reference","REF-TBE-017","Item Handling / Crew Feasibility Rules","References","Items and Handling","itemType, unitItemWeightBand, totalPieceBand, heavyPieceThreshold, itemLengthBand, awkwardnessClass, onePersonEligibleFlag, minCrew, minutesPerPiece, helperActiveMinutes, exceptionRule, activeFlag","Test Assumption"
"Reference","REF-TBE-018","Physical Access Feasibility Rules","References","Items and Handling","accessType, itemDimensionLimit, doorwayWidth, elevatorDepth, stairTurnLimit, crateFlag, reviewRule, extraMinutes, activeFlag","Test Assumption"
"Reference","REF-TBE-019","Vehicle Dimensions / Cargo Body Specs","References","Vehicles","cargoBodySpecId, vehicleType, cargoInteriorLengthIn, cargoInteriorWidthIn, cargoInteriorHeightIn, doorOpeningWidthIn, doorOpeningHeightIn, payloadLb, capacityCuFt, rampFlag, liftGateFlag, tieDownFlag, activeFlag","Test Assumption"
"Reference","REF-TBE-020","Warning / Approval Rules","References","Quality and Control","ruleId, triggerFormula, severity, messageRu, blocksQuote, approvalRole, activeFlag","Ready"
"Reference","REF-TBE-021","Formula Constants Audit","References","Quality and Control","constantValue, variableId, formulaId, meaning, owner, status","Test Assumption"
"Reference","REF-TBE-022","Route Capacity Cost Reference","References","Quality and Control","routeId, vehicleType, fullRouteCapacityCost, costPerCuFt, costPerLb, effectiveDate","Test Assumption"
"Reference","REF-TBE-023","Formula Version Registry","References","Quality and Control","formulaVersion, activeFrom, activeTo, approvedBy, changeReason","Ready"
"Reference","REF-TBE-024","Manual ZIP Override Register","References","Route and Coverage","zip, overrideZone, reason, approvedBy, activeFrom, activeTo","Test Assumption"
